      | -1         0         1 |
      | 1098765432101234567890 |
  -28 | AAAAAAAASSSSSSAAAAAAAA |
  -27 | AAAAAAAASSS@SSAAAAAAAA |
  -26 | AAAAAAAASSSSSSAAAAAAAA |
  -25 | AAAAAAAAAAAAAAAAAAAAAA |
  -24 | AAAAAAAAAAAAAAAAAAAAAA |
  -23 | AAAAAAAAAAAAAAAAAAAAAA |
  -22 | AAAAAAAAAAAAAAAAAAAAAA |
  -21 | AAAAAAAAAAAAAAAAAAAAAA |
  -20 | AAAAAAAAAAAAAAAAAAAAAA |
  -19 | AAAAAAAAAAAAAAAAAAAAAA |
  -18 | AAAAAAAAAAAAAAAAAAAAAA |
  -17 | AAAAAAAAAAAAAAAAAAAAAA |
  -16 | AAAAA!AAAAAAAAAAAAAAAA |
  -15 | AAAAAAAAAAAAAAAAAAAAAA |
  -14 | AAAAAAAAAAAAAAAAAAAAAA |
  -13 | AAAAAAAAAAAAAAAAAAAAAA |
  -12 | AAAAAAAAAAAAAAAAAAAAAA |
  -11 | AAAAAAAAAAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAAAAAAAAAA |
   -8 | AAAAAAAAAAAAAAAAAAAAAA |
   -7 | AAAAAAAAAAAAAAAAAAAAAA |
   -6 |     ++++++++++++++     |
   -5 |     ++++++++++++++     |
   -4 |     ++++++++++++++     |
   -3 |     ++++++++++++++     |
   -2 |     BBBBBBBBBBBBBB     |
   -1 |     BBBBBBBBBBBBBB     |
    0 |     BBBBBBBBBBBBBB     |
    1 |     BBBBBBBBBBBBBB     |
    2 |     ++++++++++++++     |
    3 |     ++++++++++++++     |
    4 |     ++++++++++++++     |
    5 |     ++++++++++++++     |
    6 | AAAAAAAAAAAAAAAAAAAAAA |
    7 | AAAAAAAAAAAAAAAAAAAAAA |
    8 | AAAAAAAAAAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAAAAAAAAAA |
   11 | AAAAAAAAAAAAAAAAAAAAAA |
   12 | AAAAAAAAAAAAAAAAAAAAAA |
   13 | AAAAAAAAAAAAAAAAAAAAAA |
   14 | AAAAAAAAAAAAAAAAAAAAAA |
   15 | AAAAAAAAAAAAAAAA!AAAAA |
   16 | AAAAAAAAAAAAAAAAAAAAAA |
   17 | AAAAAAAAAAAAAAAAAAAAAA |
   18 | AAAAAAAAAAAAAAAAAAAAAA |
   19 | AAAAAAAAAAAAAAAAAAAAAA |
   20 | AAAAAAAAAAAAAAAAAAAAAA |
   21 | AAAAAAAAAAAAAAAAAAAAAA |
   22 | AAAAAAAAAAAAAAAAAAAAAA |
   23 | AAAAAAAAAAAAAAAAAAAAAA |
   24 | AAAAAAAAAAAAAAAAAAAAAA |
   25 | AAAAAAAASSSSSSAAAAAAAA |
   26 | AAAAAAAASSS@SSAAAAAAAA |
   27 | AAAAAAAASSSSSSAAAAAAAA |
      22 × 56 cells drawn  ·  22 × 56 cells = 88 × 224 blocks  ·  cell 4
      ! destroyable   @ spawn   A shore (piece)   B bar (piece)   S spawn (spawn)   
