## spawn-blue (spawn) along x
TRANSECT 41 stations from (-20, 106) to (20, 106), every 1
  station        ground  surface  water  top  standing            step
  (  -20,   106)      17       17           17                      
  (  -19,   106)      17       17           17                      
  (  -18,   106)      17       17           17                      
  (  -17,   106)      17       17           17                      
  (  -16,   106)      17       17           17                      
  (  -15,   106)      17       17           17                      
  (  -14,   106)      16       16           16                      -1
  (  -13,   106)      16       16           16                      
  (  -12,   106)      16       16           16                      
  (  -11,   106)      16       16           16                      
  (  -10,   106)      16       16           16                      
  (   -9,   106)      16       16           16                      
  (   -8,   106)      16       16           26                      
  (   -7,   106)      16       16           26  spawn spawn-1#1     
  (   -6,   106)      16       16           26  spawn spawn-1#1     
  (   -5,   106)      16       16           26  spawn spawn-1#1     
  (   -4,   106)      16       16           26  spawn spawn-1#1     
  (   -3,   106)      16       16           26  spawn spawn-1#1     
  (   -2,   106)      16       16           26  spawn spawn-1#1     
  (   -1,   106)      16       16           26  spawn spawn-1#1     
  (    0,   106)      16       16           26  spawn spawn-1#1     
  (    1,   106)      16       16           26  spawn spawn-1#1     
  (    2,   106)      16       16           26  spawn spawn-1#1     
  (    3,   106)      16       16           26  spawn spawn-1#1     
  (    4,   106)      16       16           26  spawn spawn-1#1     
  (    5,   106)      16       16           26  spawn spawn-1#1     
  (    6,   106)      16       16           26  spawn spawn-1#1     
  (    7,   106)      16       16           26                      
  (    8,   106)      16       16           16                      
  (    9,   106)      16       16           16                      
  (   10,   106)      16       16           16                      
  (   11,   106)      16       16           16                      
  (   12,   106)      16       16           16                      
  (   13,   106)      16       16           16                      
  (   14,   106)      17       17           17                      +1
  (   15,   106)      17       17           17                      
  (   16,   106)      17       17           17                      
  (   17,   106)      17       17           17                      
  (   18,   106)      17       17           17                      
  (   19,   106)      18       18           18                      +1
  (   20,   106)      18       18           18                      
rises 2, falls 1, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-7, 104)

## spawn-blue (spawn) along z
TRANSECT 20 stations from (0, 92) to (0, 111), every 1
  station        ground  surface  water  top  standing            step
  (    0,    92)      16       16           16                      
  (    0,    93)      16       16           16                      
  (    0,    94)      16       16           16                      
  (    0,    95)      16       16           16  stroke quay-road#1  
  (    0,    96)      16       16           16  stroke quay-road#1  
  (    0,    97)      16       16           16  stroke quay-road#1  
  (    0,    98)      16       16           16  stroke quay-road#1  
  (    0,    99)      16       16           16  stroke quay-road#1  
  (    0,   100)      16       16           16                      
  (    0,   101)      16       16           22                      
  (    0,   102)      16       16           23  spawn spawn-1#1     
  (    0,   103)      16       16           24  spawn spawn-1#1     
  (    0,   104)      16       16           25  spawn spawn-1#1     
  (    0,   105)      16       16           26  spawn spawn-1#1     
  (    0,   106)      16       16           26  spawn spawn-1#1     
  (    0,   107)      16       16           25  spawn spawn-1#1     
  (    0,   108)      16       16           24  spawn spawn-1#1     
  (    0,   109)      16       16           23  spawn spawn-1#1     
  (    0,   110)      16       16           22                      
  (    0,   111)      16       16           16                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: stroke quay-road#1 at (2, 94), spawn spawn-1#1 at (-2, 102)
