## destroyable-2-1 (destroyable) along x
TRANSECT 25 stations from (2, -99) to (26, -99), every 1
  station        ground  surface  water  top  standing            step
  (    2,   -99)      33       33           33                      
  (    3,   -99)      33       33           33                      
  (    4,   -99)      33       33           33                      
  (    5,   -99)      33       33           33                      
  (    6,   -99)      34       34           34                      +1
  (    7,   -99)      34       34           34                      
  (    8,   -99)      34       34           34                      
  (    9,   -99)      34       34           34                      
  (   10,   -99)      34       34           34                      
  (   11,   -99)      34       34           34                      
  (   12,   -99)      35       35           35  destroyable destroyable-2#1  +1
  (   13,   -99)      35       35           80  destroyable destroyable-2#1  
  (   14,   -99)      35       35           81  destroyable destroyable-2#1  
  (   15,   -99)      35       35           80  destroyable destroyable-2#1  
  (   16,   -99)      35       35           35  destroyable destroyable-2#1  
  (   17,   -99)      35       35           35                      
  (   18,   -99)      35       35           35                      
  (   19,   -99)      35       35           35                      
  (   20,   -99)      35       35           35                      
  (   21,   -99)      35       35           35                      
  (   22,   -99)      35       35           35                      
  (   23,   -99)      35       35           35                      
  (   24,   -99)      35       35           35                      
  (   25,   -99)      35       38           38  storey              BARRIER +3
  (   26,   -99)      36       58           58  storey              BARRIER +20
rises 4, falls 0, worst step 20: 2 barrier, 0 scramble, 0 drop — BARRIER +3 at (25, -99); BARRIER +20 at (26, -99) | walked end to end
beside: destroyable destroyable-2#1 at (12, -101)

## destroyable-2-1 (destroyable) along z
TRANSECT 25 stations from (14, -111) to (14, -87), every 1
  station        ground  surface  water  top  standing            step
  (   14,  -111)      36       36           36                      
  (   14,  -110)      36       36           36                      
  (   14,  -109)      36       36           36                      
  (   14,  -108)      36       36           36                      
  (   14,  -107)      36       36           36                      
  (   14,  -106)      36       36           36                      
  (   14,  -105)      36       36           36                      
  (   14,  -104)      36       36           36                      
  (   14,  -103)      36       36           36                      
  (   14,  -102)      35       35           35                      -1
  (   14,  -101)      35       35           35  destroyable destroyable-2#1  
  (   14,  -100)      35       35           80  destroyable destroyable-2#1  
  (   14,   -99)      35       35           81  destroyable destroyable-2#1  
  (   14,   -98)      35       35           80  destroyable destroyable-2#1  
  (   14,   -97)      34       34           34  destroyable destroyable-2#1  -1
  (   14,   -96)      34       34           34                      
  (   14,   -95)      34       34           34                      
  (   14,   -94)      33       33           33                      -1
  (   14,   -93)      33       33           33                      
  (   14,   -92)      33       33           33                      
  (   14,   -91)      33       33           33                      
  (   14,   -90)      32       32           32                      -1
  (   14,   -89)      32       32           32                      
  (   14,   -88)      32       32           32                      
  (   14,   -87)      31       31           31                      -1
rises 0, falls 5, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: tree oak-6#1 at (12, -113), destroyable destroyable-2#1 at (12, -101), boulder erratic-round#1 at (12, -85)
