      | 1         0          |
      | 09876543210123456789 |
  -20 |       VVVVSSSSSWWWW  |
  -19 |       VVVVSS@SSWWWW  |
  -18 |       ¤VVViSSSiWWW¤  |
  -17 |       VVVVSSSSSWWWW  |
  -16 |       DDDDDDDDDDDDD  |
  -15 |       DDDDDDDDDDDDD  |
  -14 |       CCCCCCCCCCCCCC |
  -13 |       CCCCCCCCCCCCCC |
  -12 |             AAAAAAAA |
  -11 |             AAAAAAAA |
  -10 |             AAAAAAAA |
   -9 |             AAAAAAAA |
   -8 |             AAAAAAAA |
   -7 |             AAAAAAAA |
   -6 |       BBBBBBAAAAAAAA |
   -5 |       BBBBBBAAAAAAAA |
   -4 | ++++++BBBBBBAAAAAAAA |
   -3 | ++++++BBBBBBAAAAAAAA |
   -2 | ++++++++++++++++++++ |
   -1 | ++++++++++++++++++++ |
    0 | ++++++++++++++++++++ |
    1 | ++++++++++++++++++++ |
    2 | AAAAAAAABBBBBB++++++ |
    3 | AAAAAAAABBBBBB++++++ |
    4 | AAAAAAAABBBBBB       |
    5 | AAAAAAAABBBBBB       |
    6 | AAAAAAAA             |
    7 | AAAAAAAA             |
    8 | AAAAAAAA             |
    9 | AAAAAAAA             |
   10 | AAAAAAAA             |
   11 | AAAAAAAA             |
   12 | CCCCCCCCCCCCCC       |
   13 | CCCCCCCCCCCCCC       |
   14 |  DDDDDDDDDDDDD       |
   15 |  DDDDDDDDDDDDD       |
   16 |  WWWWSSSSSVVVV       |
   17 |  WWWWSSSSSVVVV       |
   18 |  ¤WWWiS@SiVVV¤       |
   19 |  WWWWSSSSSVVVV       |
      20 × 40 cells drawn  ·  20 × 40 cells = 100 × 200 blocks  ·  cell 5
      @ spawn   A holt (piece)   B toe (piece)   C brow (piece)   D garth (piece)   
      S lodge (spawn)   V east-cage (wool-room)   W west-cage (wool-room)   i iron   ¤ wool   
