## spawn-red (spawn) along x
TRANSECT 42 stations from (-13, 102) to (28, 102), every 1
  station        ground  surface  water  top  standing            step
  (  -13,   102)                                                    void
  (  -12,   102)                                                    void
  (  -11,   102)                                                    void
  (  -10,   102)                                                    void
  (   -9,   102)                                                    void
  (   -8,   102)                                                    void
  (   -7,   102)                                                    void
  (   -6,   102)                                                    void
  (   -5,   102)      16       16           16                      
  (   -4,   102)      16       16           19  ironcube spawn-1:0  
  (   -3,   102)      16       16           19  ironcube spawn-1:0  
  (   -2,   102)      16       16           19  ironcube spawn-1:0  
  (   -1,   102)      16       16           16                      
  (    0,   102)      16       16           16                      
  (    1,   102)      16       16           26  spawn spawn-1       
  (    2,   102)      16       16           26  spawn spawn-1       
  (    3,   102)      16       16           26  spawn spawn-1       
  (    4,   102)      16       16           26  spawn spawn-1       
  (    5,   102)      16       16           26  spawn spawn-1       
  (    6,   102)      16       16           26  spawn spawn-1       
  (    7,   102)      16       16           26  spawn spawn-1       
  (    8,   102)      16       16           26  spawn spawn-1       
  (    9,   102)      16       16           26  spawn spawn-1       
  (   10,   102)      16       16           26  spawn spawn-1       
  (   11,   102)      16       16           26  spawn spawn-1       
  (   12,   102)      16       16           26  spawn spawn-1       
  (   13,   102)      16       16           26  spawn spawn-1       
  (   14,   102)      16       16           16                      
  (   15,   102)      16       16           16                      
  (   16,   102)      16       16           19  ironcube spawn-1:1  
  (   17,   102)      16       16           19  ironcube spawn-1:1  
  (   18,   102)      16       16           19  ironcube spawn-1:1  
  (   19,   102)      16       16           16                      
  (   20,   102)                                                    void
  (   21,   102)                                                    void
  (   22,   102)                                                    void
  (   23,   102)                                                    void
  (   24,   102)                                                    void
  (   25,   102)                                                    void
  (   26,   102)                                                    void
  (   27,   102)                                                    void
  (   28,   102)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: ironcube spawn-1:0 at (-4, 102), spawn spawn-1 at (1, 100), ironcube spawn-1:1 at (16, 102)

## spawn-red (spawn) along z
TRANSECT 23 stations from (7, 87) to (7, 109), every 1
  station        ground  surface  water  top  standing            step
  (    7,    87)      16       16           16                      
  (    7,    88)      16       16           16                      
  (    7,    89)      16       16           16                      
  (    7,    90)      16       16           16                      
  (    7,    91)      16       16           16                      
  (    7,    92)      16       16           16                      
  (    7,    93)      16       16           16                      
  (    7,    94)      16       16           16  stroke trod         
  (    7,    95)      16       16           16  stroke trod         
  (    7,    96)      16       16           16  stroke trod         
  (    7,    97)      16       16           16  stroke trod         
  (    7,    98)      16       16           26  stroke trod         
  (    7,    99)      16       16           26  spawn spawn-1       
  (    7,   100)      16       16           26  spawn spawn-1       
  (    7,   101)      16       16           26  spawn spawn-1       
  (    7,   102)      16       16           26  spawn spawn-1       
  (    7,   103)      16       16           26  spawn spawn-1       
  (    7,   104)      16       16           26  spawn spawn-1       
  (    7,   105)      16       16           26  spawn spawn-1       
  (    7,   106)      16       16           26  spawn spawn-1       
  (    7,   107)      16       16           26  spawn spawn-1       
  (    7,   108)      16       16           26  spawn spawn-1       
  (    7,   109)      16       16           16                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: stroke trod at (5, 92), spawn spawn-1 at (5, 98)
