## spawn-red -> red-0
ROUTE (2, 88) -> (-35, 55) aim travel: 58 blocks, 3 placed, 2 drop(s), worst drop 10
  place            y   step
  (2, 88)           23
  (2, 87)           23
  (2, 86)           23
  (2, 85)           23
  (2, 84)           23
  (2, 83)           23
  (2, 82)           23
  (2, 81)           23
  (2, 80)           13   drop -10
  (2, 79)           14
  (2, 78)           14
  (2, 77)           13
  (2, 76)           13
  (1, 75)           13
  (0, 74)           12
  (-1, 73)          12
  (-2, 72)          12
  (-3, 71)          12
  (-4, 70)          13
  (-5, 69)          14
  (-6, 68)          14
  (-7, 68)          15
  (-8, 68)          15
  (-9, 68)          15
  (-10, 68)         14
  (-11, 68)         14
  (-12, 68)         14
  (-13, 68)         13
  (-14, 68)         13
  (-15, 67)         13
  (-16, 66)         13
  (-17, 65)         13
  (-18, 64)         12
  (-19, 63)         12
  (-20, 63)         16   barrier +4
  (-21, 63)         16
  (-22, 63)         10   drop -6
  (-23, 63)         10
  (-24, 63)         10
  (-25, 62)         10
  (-26, 62)         10
  (-27, 61)         10
  (-28, 60)         11
  (-29, 59)         11
  (-30, 58)         12
  (-31, 57)         13
  (-32, 56)         12
  (-33, 56)         12
  (-34, 56)         12
  (-35, 55)         12
rises 1, falls 2, worst step 10: drop -10 at (2, 80); barrier +4 at (-20, 63); drop -6 at (-22, 63)
beside: spawn spawn-1 at (2, 84) d0, wool wool-1 at (-35, 55) d0

## spawn-red -> orange-0
ROUTE (2, 88) -> (40, 45) aim travel: 63 blocks, 3 placed, 2 drop(s), worst drop 10
  place            y   step
  (2, 88)           23
  (2, 87)           23
  (2, 86)           23
  (2, 85)           23
  (2, 84)           23
  (2, 83)           23
  (2, 82)           23
  (2, 81)           23
  (2, 80)           13   drop -10
  (2, 79)           14
  (2, 78)           14
  (2, 77)           13
  (2, 76)           13
  (3, 75)           13
  (4, 74)           13
  (5, 73)           12
  (6, 72)           12
  (7, 71)           12
  (8, 70)           12
  (9, 69)           13
  (10, 68)          13
  (11, 68)          14
  (12, 68)          14
  (13, 68)          14
  (14, 68)          14
  (15, 67)          14
  (16, 66)          14
  (17, 65)          14
  (18, 64)          14
  (19, 63)          14
  (20, 62)          14
  (21, 61)          14
  (22, 60)          14
  (23, 59)          12
  (24, 58)          16   barrier +4
  (25, 57)          16
  (26, 56)          10   drop -6
  (27, 55)          10
  (28, 54)          10
  (29, 53)          10
  (30, 52)          10
  (31, 51)          11
  (32, 50)          11
  (33, 49)          12
  (34, 48)          13
  (35, 47)          14
  (36, 46)          13
  (37, 46)          13
  (38, 46)          13
  (39, 46)          13
  (40, 45)          13
rises 1, falls 2, worst step 10: drop -10 at (2, 80); barrier +4 at (24, 58); drop -6 at (26, 56)
beside: spawn spawn-1 at (2, 84) d0, wool wool-2 at (36, 46) d0, tree scrub-2 at (14, 64) d2

## spawn-red -> blue-1
ROUTE (2, 88) -> (-35, -55) aim travel: 163 blocks, 53 placed, 5 drop(s), worst drop 12
  place            y   step
  (2, 88)           23
  (2, 87)           23
  (2, 86)           23
  (2, 85)           23
  (2, 84)           23
  (2, 83)           23
  (2, 82)           23
  (2, 81)           23
  (2, 80)           13   drop -10
  (2, 79)           14
  (2, 78)           14
  (2, 77)           13
  (2, 76)           13
  (2, 75)           13
  (2, 74)           13
  (2, 73)           12
  (2, 72)           12
  (2, 71)           12
  (2, 70)           12
  (2, 69)           12
  (2, 68)           12
  (2, 67)           12
  (2, 66)           12
  (2, 65)           12
  (2, 64)           13
  (2, 63)           13
  (2, 62)           13
  (2, 61)           12
  (2, 60)           12
  (2, 59)           12
  (2, 58)           12
  (2, 57)           12
  (2, 56)           13
  (2, 55)           13
  (2, 54)           13
  (2, 53)           13
  (2, 52)           13
  (2, 51)           13
  (2, 50)           13
  (2, 49)           12
  (2, 48)           12
  (2, 47)           12
  (2, 46)           12
  (2, 45)           13
  (2, 44)           13
  (2, 43)           13
  (2, 42)           13
  (2, 41)           13
  (2, 40)           13
  (2, 39)           13
  (2, 38)           13
  (2, 37)           13
  (2, 36)           13
  (2, 35)           13
  (2, 34)           13
  (2, 33)           13
  (1, 32)           13
  (0, 31)           12
  (-1, 30)          13
  (-2, 29)          13
