## rock-3 (boulder) along x
TRANSECT 25 stations from (-10, -44) to (14, -44), every 1
  station        ground  surface  water  top  standing            step
  (  -10,   -44)      18       18           18                      
  (   -9,   -44)      18       18           18                      
  (   -8,   -44)      18       18           18                      
  (   -7,   -44)      18       18           21  boulder rock-1      
  (   -6,   -44)      18       18           22  boulder rock-1      
  (   -5,   -44)      18       18           22  boulder rock-1      
  (   -4,   -44)      18       18           22  boulder rock-1      
  (   -3,   -44)      18       18           22  boulder rock-1      
  (   -2,   -44)      18       18           21  boulder rock-1      
  (   -1,   -44)      18       18           20  boulder rock-1      
  (    0,   -44)      18       18           18                      
  (    1,   -44)      18       18           18                      
  (    2,   -44)      18       18           18                      
  (    3,   -44)      18       18           18                      
  (    4,   -44)      18       18           18                      
  (    5,   -44)      18       18           18                      
  (    6,   -44)      18       18           18                      
  (    7,   -44)      18       18           18                      
  (    8,   -44)      18       18           18                      
  (    9,   -44)      18       18           18                      
  (   10,   -44)      18       18           18                      
  (   11,   -44)      18       18           18                      
  (   12,   -44)      18       18           18                      
  (   13,   -44)      18       18           18                      
  (   14,   -44)      18       18           18                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder rock-1 at (-7, -44)

## rock-3 (boulder) along z
TRANSECT 25 stations from (2, -56) to (2, -32), every 1
  station        ground  surface  water  top  standing            step
  (    2,   -56)      23       23           23  stroke track-haul   
  (    2,   -55)      22       22           22                      -1
  (    2,   -54)      21       21           21                      -1
  (    2,   -53)      20       20           20                      -1
  (    2,   -52)      19       19           19                      -1
  (    2,   -51)      18       18           18                      -1
  (    2,   -50)      18       18           18                      
  (    2,   -49)      17       17           17                      -1
  (    2,   -48)      18       18           18                      +1
  (    2,   -47)      18       18           18                      
  (    2,   -46)      18       18           18                      
  (    2,   -45)      18       18           18                      
  (    2,   -44)      18       18           18                      
  (    2,   -43)      18       18           18                      
  (    2,   -42)      18       18           18                      
  (    2,   -41)      18       18           18                      
  (    2,   -40)      18       18           18                      
  (    2,   -39)      18       18           18                      
  (    2,   -38)      18       18           18                      
  (    2,   -37)      18       18           18                      
  (    2,   -36)      18       18           18                      
  (    2,   -35)      18       18           18                      
  (    2,   -34)      19       19           19                      +1
  (    2,   -33)      19       19           19                      
  (    2,   -32)      20       20           20                      +1
rises 3, falls 6, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: stroke track-haul at (0, -58)
