## spawn-blue (spawn) along x
TRANSECT 37 stations from (-18, 90) to (18, 90), every 1
  station        ground  surface  water  top  standing            step
  (  -18,    90)      20       20           27  house dwelling-e#1  
  (  -17,    90)      20       20           27  house dwelling-e#1  
  (  -16,    90)      20       20           20                      
  (  -15,    90)      20       20           20                      
  (  -14,    90)      20       20           20                      
  (  -13,    90)      20       20           20                      
  (  -12,    90)      20       20           20                      
  (  -11,    90)      20       20           20                      
  (  -10,    90)      20       20           20                      
  (   -9,    90)      20       20           20                      
  (   -8,    90)      20       20           20                      
  (   -7,    90)      20       20           20                      
  (   -6,    90)      20       20           27                      
  (   -5,    90)      20       20           27  spawn spawn-1#1     
  (   -4,    90)      20       20           27  spawn spawn-1#1     
  (   -3,    90)      20       20           27  spawn spawn-1#1     
  (   -2,    90)      20       20           20  spawn spawn-1#1     
  (   -1,    90)      20       20           20  spawn spawn-1#1     
  (    0,    90)      20       20           20  spawn spawn-1#1     
  (    1,    90)      20       20           20  spawn spawn-1#1     
  (    2,    90)      20       20           27  spawn spawn-1#1     
  (    3,    90)      20       20           27  spawn spawn-1#1     
  (    4,    90)      20       20           27  spawn spawn-1#1     
  (    5,    90)      20       20           27                      
  (    6,    90)      20       20           20                      
  (    7,    90)      20       20           20                      
  (    8,    90)      20       20           20                      
  (    9,    90)      20       20           20                      
  (   10,    90)      20       20           20                      
  (   11,    90)      20       20           20                      
  (   12,    90)      20       20           20                      
  (   13,    90)      20       20           20                      
  (   14,    90)      20       20           20                      
  (   15,    90)      20       20           27  house dwelling-w#1  
  (   16,    90)      20       20           27  house dwelling-w#1  
  (   17,    90)      20       20           27  house dwelling-w#1  
  (   18,    90)      20       20           27  house dwelling-w#1  
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: house dwelling-e#1 at (-20, 90), spawn spawn-1#1 at (-5, 88), house dwelling-w#1 at (15, 90)

## spawn-blue (spawn) along z
TRANSECT 33 stations from (0, 72) to (0, 104), every 1
  station        ground  surface  water  top  standing            step
  (    0,    72)      18       18           18                      
  (    0,    73)      18       18           18                      
  (    0,    74)      19       19           19                      +1
  (    0,    75)      19       19           19                      
  (    0,    76)      19       19           19                      
  (    0,    77)      20       20           20                      +1
  (    0,    78)      20       20           20                      
  (    0,    79)      20       20           20                      
  (    0,    80)      20       20           20                      
  (    0,    81)      20       20           20                      
  (    0,    82)      20       20           20                      
  (    0,    83)      20       20           20                      
  (    0,    84)      20       20           27                      
  (    0,    85)      20       20           27  spawn spawn-1#1     
  (    0,    86)      20       20           27  spawn spawn-1#1     
  (    0,    87)      20       20           27  spawn spawn-1#1     
  (    0,    88)      20       20           20  spawn spawn-1#1     
  (    0,    89)      20       20           20  spawn spawn-1#1     
  (    0,    90)      20       20           20  spawn spawn-1#1     
  (    0,    91)      20       20           20  spawn spawn-1#1     
  (    0,    92)      20       20           27  spawn spawn-1#1     
  (    0,    93)      20       20           27  spawn spawn-1#1     
  (    0,    94)      20       20           27  spawn spawn-1#1     
  (    0,    95)      20       20           27                      
  (    0,    96)      20       20           20                      
  (    0,    97)      20       20           20                      
  (    0,    98)      20       20           20                      
  (    0,    99)      20       20           20                      
  (    0,   100)      18       18           18                      -2
  (    0,   101)      16       16           16                      -2
  (    0,   102)                                                    void
  (    0,   103)                                                    void
  (    0,   104)                                                    void
rises 2, falls 2, worst step 2: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-2, 85)
