      |   -1         0         1   |
      | 32109876543210123456789012 |
  -32 | WWWWW       VVVVV          |
  -31 | W¤WWW       VVV¤V          |
  -30 | WWWWW       VVVVV          |
  -29 | WWWWW       VVVVV          |
  -28 | AAAAA       BBBBB          |
  -27 | AAAAA       BBBBB          |
  -26 | AAAAASSSSSSSBBBBB          |
  -25 | AAAAASSS@SSSBBBBB          |
  -24 | AAAAAiSSSSSiBBBBB          |
  -23 | AAAAASSSSSSSBBBBB          |
  -22 | CCCCCCCCCCCCCCCCC          |
  -21 | CCCCCCCCCCCCCCCCC          |
  -20 | CCCCCCCCCCCCCCCCC          |
  -19 | CCCCCCCCCCCCCCCCC          |
  -18 | CCCCCCCCCCCCCCCCC          |
  -17 | CCCCCCCCCCCCCCCCC          |
  -16 |   DDDDDDDDDD               |
  -15 |   DDDDDDDDDD               |
  -14 |   DDDDDDDDDD               |
  -13 |   DDDDDDDDDD               |
  -12 |   DDDDDDDDDD               |
  -11 |   EEEEEEEEEEEE             |
  -10 |   EEEEEEEEEEEE             |
   -9 |   EEEEEEEEEEEE             |
   -8 |   EEEEEEEEEEEE             |
   -7 |   EEEEEEEEEEEE++++++++++   |
   -6 |   +++++FFFFFFFFFFFF+++++   |
   -5 |   +++++FFFFFFFFFFFF+++++   |
   -4 |   +++++FFFFFFFFFFFF+++++   |
   -3 |   +++++FFFFFFFFFFFF+++++   |
   -2 |   +++++FFFFFFFFFFFF+++++   |
   -1 |   +++++FFFFFFFFFFFF+++++   |
    0 |   +++++FFFFFFFFFFFF+++++   |
    1 |   +++++FFFFFFFFFFFF+++++   |
    2 |   +++++FFFFFFFFFFFF+++++   |
    3 |   +++++FFFFFFFFFFFF+++++   |
    4 |   +++++FFFFFFFFFFFF+++++   |
    5 |   +++++FFFFFFFFFFFF+++++   |
    6 |   ++++++++++EEEEEEEEEEEE   |
    7 |             EEEEEEEEEEEE   |
    8 |             EEEEEEEEEEEE   |
    9 |             EEEEEEEEEEEE   |
   10 |             EEEEEEEEEEEE   |
   11 |               DDDDDDDDDD   |
   12 |               DDDDDDDDDD   |
   13 |               DDDDDDDDDD   |
   14 |               DDDDDDDDDD   |
   15 |               DDDDDDDDDD   |
   16 |          CCCCCCCCCCCCCCCCC |
   17 |          CCCCCCCCCCCCCCCCC |
   18 |          CCCCCCCCCCCCCCCCC |
   19 |          CCCCCCCCCCCCCCCCC |
   20 |          CCCCCCCCCCCCCCCCC |
   21 |          CCCCCCCCCCCCCCCCC |
   22 |          BBBBBSSSSSSSAAAAA |
   23 |          BBBBBSSSSSSSAAAAA |
   24 |          BBBBBiSS@SSiAAAAA |
   25 |          BBBBBSSSSSSSAAAAA |
   26 |          BBBBB       AAAAA |
   27 |          BBBBB       AAAAA |
   28 |          VVVVV       WWWWW |
   29 |          VVVVV       WWWWW |
   30 |          VVVVV       WWWWW |
   31 |          V¤VVV       WWW¤W |
      26 × 64 cells drawn  ·  26 × 64 cells = 104 × 256 blocks  ·  cell 4
      @ spawn   A lane-w (piece)   B lane-e (piece)   C bank (piece)   D apron (piece)   
      E brink (piece)   F strand (piece)   S yard (spawn)   V dye-e (wool-room)   
      W dye-w (wool-room)   i iron   ¤ wool   
