      |      -1         0         1      |
      | 65432109876543210123456789012345 |
  -26 |               WWHHHFF            |
  -25 |               W¤HHHFF            |
  -24 |               KKoooFF            |
  -23 |               KKoooFF            |
  -22 |               KKoooFF            |
  -21 |               KKGGGFF            |
  -20 |               KKGGGFF            |
  -19 |                 JJJJJ            |
  -18 |                 JJJJJ            |
  -17 |               AAAAAAAA           |
  -16 |               AAAAAAAA           |
  -15 |               AAAAAAAA           |
  -14 |               DDDooCCC           |
  -13 |               DDDooCCC           |
  -12 |            SSEDDDooCCC  QQQQQQVV |
  -11 |            S@EBBBBBBBB  QQQQQQV¤ |
  -10 |            SSEBBBBBBBBPPMMooNN   |
   -9 |               BBBBBBBBPPLLLLLL   |
   -8 |               BBBBBBBBPPLLLLLL   |
   -7 |               RRRR               |
   -6 |               RRRR               |
   -5 |               RRRR               |
   -4 |               RRRR               |
   -3 |               RRRR               |
   -2 |               ++++               |
   -1 |               ++++               |
    0 |               ++++               |
    1 |               ++++               |
    2 |               RRRR               |
    3 |               RRRR               |
    4 |               RRRR               |
    5 |               RRRR               |
    6 |               RRRR               |
    7 |   LLLLLLPPBBBBBBBB               |
    8 |   LLLLLLPPBBBBBBBB               |
    9 |   NNooMMPPBBBBBBBBESS            |
   10 | VVQQQQQQ  BBBBBBBBES@            |
   11 | V¤QQQQQQ  CCCooDDDESS            |
   12 |           CCCooDDD               |
   13 |           CCCooDDD               |
   14 |           AAAAAAAA               |
   15 |           AAAAAAAA               |
   16 |           AAAAAAAA               |
   17 |            JJJJJ                 |
   18 |            JJJJJ                 |
   19 |            FFGGGKK               |
   20 |            FFGGGKK               |
   21 |            FFoooKK               |
   22 |            FFoooKK               |
   23 |            FFoooKK               |
   24 |            FFHHHWW               |
   25 |            FFHHHW¤               |
      32 × 52 cells drawn  ·  32 × 52 cells = 160 × 260 blocks  ·  cell 5
      @ spawn   A hub-t1 (piece)   B hub-t2 (piece)   C hub-t3 (piece)   D hub-t4 (piece)   
      E spawn-t1 (piece)   F wool-a-t1 (piece)   G wool-a-t2 (piece)   H wool-a-t3 (piece)   
      J wool-a-t4 (piece)   K wool-a-t5 (piece)   L wool-b-t1 (piece)   M wool-b-t2 (piece)   
      N wool-b-t3 (piece)   P wool-b-t4 (piece)   Q wool-b-t5 (piece)   R frontline-t1 (piece)   
      S spawn-room (spawn)   V wool-b-room (wool-room)   W wool-a-room (wool-room)   ¤ wool   
