## spawn-blue (spawn) along x
TRANSECT 27 stations from (-33, -53) to (-7, -53), every 1
  station        ground  surface  water  top  standing            step
  (  -33,   -53)                                                    void
  (  -32,   -53)                                                    void
  (  -31,   -53)                                                    void
  (  -30,   -53)                                                    void
  (  -29,   -53)                                                    void
  (  -28,   -53)                                                    void
  (  -27,   -53)                                                    void
  (  -26,   -53)                                                    void
  (  -25,   -53)      14       14           24                      
  (  -24,   -53)      14       14           25  spawn spawn-1#1     
  (  -23,   -53)      14       14           26  spawn spawn-1#1     
  (  -22,   -53)      14       14           27  spawn spawn-1#1     
  (  -21,   -53)      14       14           28  spawn spawn-1#1     
  (  -20,   -53)      14       14           27  spawn spawn-1#1     
  (  -19,   -53)      14       14           26  spawn spawn-1#1     
  (  -18,   -53)      14       14           25  spawn spawn-1#1     
  (  -17,   -53)      14       14           24                      
  (  -16,   -53)      14       14           14                      
  (  -15,   -53)      14       14           14                      
  (  -14,   -53)      14       14           14                      
  (  -13,   -53)      14       14           14                      
  (  -12,   -53)      15       15           15                      +1
  (  -11,   -53)      15       15           15                      
  (  -10,   -53)      15       15           15                      
  (   -9,   -53)      15       15           15                      
  (   -8,   -53)      15       15           15                      
  (   -7,   -53)      15       15           15                      
rises 1, falls 0, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-24, -55)

## spawn-blue (spawn) along z
TRANSECT 32 stations from (-20, -68) to (-20, -37), every 1
  station        ground  surface  water  top  standing            step
  (  -20,   -68)                                                    void
  (  -20,   -67)                                                    void
  (  -20,   -66)                                                    void
  (  -20,   -65)                                                    void
  (  -20,   -64)                                                    void
  (  -20,   -63)                                                    void
  (  -20,   -62)                                                    void
  (  -20,   -61)                                                    void
  (  -20,   -60)      14       14           27                      
  (  -20,   -59)      14       14           27  spawn spawn-1#1     
  (  -20,   -58)      14       14           27  spawn spawn-1#1     
  (  -20,   -57)      14       14           27  spawn spawn-1#1     
  (  -20,   -56)      14       14           27  spawn spawn-1#1     
  (  -20,   -55)      14       14           27  spawn spawn-1#1     
  (  -20,   -54)      14       14           27  spawn spawn-1#1     
  (  -20,   -53)      14       14           27  spawn spawn-1#1     
  (  -20,   -52)      14       14           27  spawn spawn-1#1     
  (  -20,   -51)      14       14           27  spawn spawn-1#1     
  (  -20,   -50)      14       14           27  spawn spawn-1#1     
  (  -20,   -49)      14       14           27  spawn spawn-1#1     
  (  -20,   -48)      14       14           27  spawn spawn-1#1     
  (  -20,   -47)      14       14           27  spawn spawn-1#1     
  (  -20,   -46)      14       14           27                      
  (  -20,   -45)                                                    void
  (  -20,   -44)                                                    void
  (  -20,   -43)                                                    void
  (  -20,   -42)                                                    void
  (  -20,   -41)                                                    void
  (  -20,   -40)                                                    void
  (  -20,   -39)                                                    void
  (  -20,   -38)                                                    void
  (  -20,   -37)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-22, -59)
