## spawn-blue (spawn) along x
TRANSECT 24 stations from (-60, -53) to (-37, -53), every 1
  station        ground  surface  water  top  standing            step
  (  -60,   -53)                                                    void
  (  -59,   -53)                                                    void
  (  -58,   -53)                                                    void
  (  -57,   -53)                                                    void
  (  -56,   -53)                                                    void
  (  -55,   -53)      12       12           12                      
  (  -54,   -53)      12       12           22  spawn spawn-1#1     
  (  -53,   -53)      12       12           22  spawn spawn-1#1     
  (  -52,   -53)      12       12           22  spawn spawn-1#1     
  (  -51,   -53)      12       12           22  spawn spawn-1#1     
  (  -50,   -53)      12       12           22  spawn spawn-1#1     
  (  -49,   -53)      12       12           22  spawn spawn-1#1     
  (  -48,   -53)      12       12           22  stroke way#1        
  (  -47,   -53)      12       12           22  stroke way#1        
  (  -46,   -53)      12       12           12  stroke way#1        
  (  -45,   -53)      13       13           13  stroke way#1        +1
  (  -44,   -53)      13       13           13  stroke way#1        
  (  -43,   -53)      13       13           13  stroke way#1        
  (  -42,   -53)      12       12           12  stroke way#1        -1
  (  -41,   -53)      12       12           12  stroke way#1        
  (  -40,   -53)      12       12           12  stroke way#1        
  (  -39,   -53)      12       12           12  stroke way#1        
  (  -38,   -53)      12       12           12  stroke way#1        
  (  -37,   -53)      12       12           12  stroke way#1        
rises 1, falls 1, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-54, -55), stroke way#1 at (-48, -54)

## spawn-blue (spawn) along z
TRANSECT 32 stations from (-50, -68) to (-50, -37), every 1
  station        ground  surface  water  top  standing            step
  (  -50,   -68)                                                    void
  (  -50,   -67)                                                    void
  (  -50,   -66)                                                    void
  (  -50,   -65)                                                    void
  (  -50,   -64)                                                    void
  (  -50,   -63)                                                    void
  (  -50,   -62)                                                    void
  (  -50,   -61)                                                    void
  (  -50,   -60)      12       12           12                      
  (  -50,   -59)      12       12           22  spawn spawn-1#1     
  (  -50,   -58)      12       12           22  spawn spawn-1#1     
  (  -50,   -57)      12       12           22  spawn spawn-1#1     
  (  -50,   -56)      12       12           22  spawn spawn-1#1     
  (  -50,   -55)      12       12           22  spawn spawn-1#1     
  (  -50,   -54)      12       12           22  spawn spawn-1#1     
  (  -50,   -53)      12       12           22  spawn spawn-1#1     
  (  -50,   -52)      12       12           22  spawn spawn-1#1     
  (  -50,   -51)      12       12           22  spawn spawn-1#1     
  (  -50,   -50)      12       12           22  spawn spawn-1#1     
  (  -50,   -49)      12       12           22  spawn spawn-1#1     
  (  -50,   -48)      12       12           22  spawn spawn-1#1     
  (  -50,   -47)      12       12           22  spawn spawn-1#1     
  (  -50,   -46)      12       12           12                      
  (  -50,   -45)                                                    void
  (  -50,   -44)                                                    void
  (  -50,   -43)                                                    void
  (  -50,   -42)                                                    void
  (  -50,   -41)                                                    void
  (  -50,   -40)                                                    void
  (  -50,   -39)                                                    void
  (  -50,   -38)                                                    void
  (  -50,   -37)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-52, -59), stroke way#1 at (-48, -54)
