      | 1         0          |
      | 09876543210123456789 |
  -40 |         SSSS         |
  -39 |         SS@i         |
  -38 |      EEEEEEEEEE      |
  -37 |      EEEEEEEEEE      |
  -36 |      EEEEEEEEEE      |
  -35 |      EEEEEEEEEE      |
  -34 |    DDDDDDDDDDDDDD    |
  -33 |    DDDDDDDDDDDDDD    |
  -32 |    DDDDDDDDDDDDDD    |
  -31 |    DDDDDDDDDDDDDD    |
  -30 |    DDDDDDDDDDDDDD    |
  -29 |    DDDDDDDDDDDDDD    |
  -28 |    DDDDDDDDDDDDDD    |
  -27 |    DDDDDDDDDDDDDD    |
  -26 |    DDDDDDDDDDDDDD    |
  -25 |    DDDDDDDDDDDDDD    |
  -24 |  CCCCCCCCCCCCCCCCCC  |
  -23 |  CCCC!CCCCC!CCCCCCC  |
  -22 |  CCCCCCCCCCCCCCCCCC  |
  -21 |  CCCCCCCCCCCCCCCCCC  |
  -20 |  CCCCCCCCCCCCCCCCCC  |
  -19 |  CCCCCCCCCCCCCCCCCC  |
  -18 |  CCCCCCCCCCCCCCCCCC  |
  -17 |  CCCCCCCCCCCCCCCCCC  |
  -16 | BBBBBBBBBBBBBBBBBBBB |
  -15 | BBBBBBBBBBBBBBBBBBBB |
  -14 | BBBBBBBBBBBBBBBBBBBB |
  -13 | BBBBBBBBBBBBBBBBBBBB |
  -12 | BBBBBBBBBBBBBBBBBBBB |
  -11 | BBBBBBBBBBBBBBBBBBBB |
  -10 | BBBBBBBBBBBBBBBBBBBB |
   -9 | BBBBBBBBBBBBBBBBBBBB |
   -8 |   AAAAAAAAAAAAAAAA   |
   -7 |   AAAAAAAAAAAAAAAA   |
   -6 |   AAAAAAAAAAAAAAAA   |
   -5 |   AAAAAAAAAAAAAAAA   |
   -4 |   AAAAAAAAAAAAAAAA   |
   -3 |   AAAAAAAAAAAAAAAA   |
   -2 |   AAAAAAAAAAAAAAAA   |
   -1 |   AAAAAAAAAAAAAAAA   |
    0 |   AAAAAAAAAAAAAAAA   |
    1 |   AAAAAAAAAAAAAAAA   |
    2 |   AAAAAAAAAAAAAAAA   |
    3 |   AAAAAAAAAAAAAAAA   |
    4 |   AAAAAAAAAAAAAAAA   |
    5 |   AAAAAAAAAAAAAAAA   |
    6 |   AAAAAAAAAAAAAAAA   |
    7 |   AAAAAAAAAAAAAAAA   |
    8 | BBBBBBBBBBBBBBBBBBBB |
    9 | BBBBBBBBBBBBBBBBBBBB |
   10 | BBBBBBBBBBBBBBBBBBBB |
   11 | BBBBBBBBBBBBBBBBBBBB |
   12 | BBBBBBBBBBBBBBBBBBBB |
   13 | BBBBBBBBBBBBBBBBBBBB |
   14 | BBBBBBBBBBBBBBBBBBBB |
   15 | BBBBBBBBBBBBBBBBBBBB |
   16 |  CCCCCCCCCCCCCCCCCC  |
   17 |  CCCCCCCCCCCCCCCCCC  |
   18 |  CCCCCCCCCCCCCCCCCC  |
   19 |  CCCCCCCCCCCCCCCCCC  |
   20 |  CCCCCCCCCCCCCCCCCC  |
   21 |  CCCCCCCCCCCCCCCCCC  |
   22 |  CCCCCCC!CCCCCC!CCC  |
   23 |  CCCCCCCCCCCCCCCCCC  |
   24 |    DDDDDDDDDDDDDD    |
   25 |    DDDDDDDDDDDDDD    |
   26 |    DDDDDDDDDDDDDD    |
   27 |    DDDDDDDDDDDDDD    |
   28 |    DDDDDDDDDDDDDD    |
   29 |    DDDDDDDDDDDDDD    |
   30 |    DDDDDDDDDDDDDD    |
   31 |    DDDDDDDDDDDDDD    |
   32 |    DDDDDDDDDDDDDD    |
   33 |    DDDDDDDDDDDDDD    |
   34 |      EEEEEEEEEE      |
   35 |      EEEEEEEEEE      |
   36 |      EEEEEEEEEE      |
   37 |      EEEEEEEEEE      |
   38 |         SSSS         |
   39 |         Si@S         |
      20 × 80 cells drawn  ·  20 × 80 cells = 100 × 400 blocks  ·  cell 5
      ! destroyable   @ spawn   A strait (piece)   B basin (piece)   C shelf (piece)   
      D holt (piece)   E apron (piece)   S spawn (spawn)   i iron   
