## dt-shelf-0 (destroyable) along x
TRANSECT 25 stations from (14, -58) to (38, -58), every 1
  station        ground  surface  water  top  standing            step
  (   14,   -58)      23       23           23                      
  (   15,   -58)      23       23           23                      
  (   16,   -58)      23       23           23                      
  (   17,   -58)      22       22           22                      -1
  (   18,   -58)      22       22           22                      
  (   19,   -58)      22       22           22                      
  (   20,   -58)      22       22           22                      
  (   21,   -58)      22       22           22                      
  (   22,   -58)      22       22           22                      
  (   23,   -58)      22       22           22                      
  (   24,   -58)      21       21           21  destroyable dt-shelf  -1
  (   25,   -58)      21       21           68  destroyable dt-shelf  
  (   26,   -58)      21       21           69  destroyable dt-shelf  
  (   27,   -58)      21       21           68  destroyable dt-shelf  
  (   28,   -58)      21       21           21  destroyable dt-shelf  
  (   29,   -58)      21       21           21                      
  (   30,   -58)      21       21           21                      
  (   31,   -58)      21       21           21                      
  (   32,   -58)      20       20           20                      -1
  (   33,   -58)      20       20           20                      
  (   34,   -58)      20       20           20                      
  (   35,   -58)      20       20           20                      
  (   36,   -58)      20       20           20                      
  (   37,   -58)      20       20           20                      
  (   38,   -58)      20       20           20                      
rises 0, falls 3, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: destroyable dt-shelf at (24, -60)

## dt-shelf-0 (destroyable) along z
TRANSECT 25 stations from (26, -70) to (26, -46), every 1
  station        ground  surface  water  top  standing            step
  (   26,   -70)      26       26           26                      
  (   26,   -69)      25       25           25                      -1
  (   26,   -68)      23       23           23                      -2
  (   26,   -67)      22       22           22                      -1
  (   26,   -66)      22       22           22                      
  (   26,   -65)      22       22           22                      
  (   26,   -64)      22       22           22                      
  (   26,   -63)      22       22           22                      
  (   26,   -62)      21       21           21                      -1
  (   26,   -61)      21       21           21                      
  (   26,   -60)      21       21           21  destroyable dt-shelf  
  (   26,   -59)      21       21           68  destroyable dt-shelf  
  (   26,   -58)      21       21           69  destroyable dt-shelf  
  (   26,   -57)      21       21           68  destroyable dt-shelf  
  (   26,   -56)      21       21           21  destroyable dt-shelf  
  (   26,   -55)      21       21           21                      
  (   26,   -54)      21       21           21                      
  (   26,   -53)      21       21           21                      
  (   26,   -52)      21       21           21                      
  (   26,   -51)      21       21           21                      
  (   26,   -50)      20       20           20                      -1
  (   26,   -49)      20       20           20                      
  (   26,   -48)      20       20           20                      
  (   26,   -47)      19       19           19                      -1
  (   26,   -46)      19       19           19                      
rises 0, falls 6, worst step 2: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: destroyable dt-shelf at (24, -60)
