## leat (water) along x
TRANSECT 33 stations from (-19, -62) to (13, -62), every 1
  station        ground  surface  water  top  standing            step
  (  -19,   -62)      16       16           16  stroke track-floor  
  (  -18,   -62)      15       15           15  stroke track-floor  -1
  (  -17,   -62)      13       13           13  stroke track-floor  -2
  (  -16,   -62)      12       12           12  stroke track-floor  -1
  (  -15,   -62)      11       11           11  stroke track-floor  -1
  (  -14,   -62)      10       10           10                      -1
  (  -13,   -62)      10       10           10                      
  (  -12,   -62)      10       10           10                      
  (  -11,   -62)      10       10           10                      
  (  -10,   -62)      10       10           10                      
  (   -9,   -62)      10       10           10                      
  (   -8,   -62)      10       10           10                      
  (   -7,   -62)      10       10           10                      
  (   -6,   -62)      10       10           10                      
  (   -5,   -62)      10       10           10  water leat          
  (   -4,   -62)      10       10           10  water leat          
  (   -3,   -62)      10       10     10    10  water leat          
  (   -2,   -62)      10       10     10    10  water leat          
  (   -1,   -62)      10       10     10    10  water leat          
  (    0,   -62)      10       10     10    10  water leat          
  (    1,   -62)      10       10     10    10  water leat          
  (    2,   -62)      10       10     10    10  water leat          
  (    3,   -62)      10       10           10  water leat          
  (    4,   -62)      10       10           10                      
  (    5,   -62)      10       10           10                      
  (    6,   -62)      10       10           10                      
  (    7,   -62)      10       10           10                      
  (    8,   -62)      10       10           10                      
  (    9,   -62)      10       10           10                      
  (   10,   -62)      10       10           10                      
  (   11,   -62)      10       10           10                      
  (   12,   -62)      10       10           10                      
  (   13,   -62)      10       10           10                      
rises 0, falls 5, worst step 2: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: stroke track-floor at (-19, -64), water leat at (-6, -64)

## leat (water) along z
TRANSECT 63 stations from (-3, -93) to (-3, -31), every 1
  station        ground  surface  water  top  standing            step
  (   -3,   -93)      14       14           14                      
  (   -3,   -92)      14       14           14                      
  (   -3,   -91)      14       14           14                      
  (   -3,   -90)      14       14           14                      
  (   -3,   -89)      14       14           14                      
  (   -3,   -88)      14       14           14                      
  (   -3,   -87)      14       14           14                      
  (   -3,   -86)      14       14           14                      
  (   -3,   -85)      10       10           10  water leat          DROP -4
  (   -3,   -84)      10       10           10  water leat          
  (   -3,   -83)      10       10           10  water leat          
  (   -3,   -82)      10       10           10  water leat          
  (   -3,   -81)      10       10           10  water leat          
  (   -3,   -80)      10       10     10    10  water leat          
  (   -3,   -79)      10       10     10    10  water leat          
  (   -3,   -78)      10       10     10    10  water leat          
  (   -3,   -77)      10       10     10    10  water leat          
  (   -3,   -76)      10       10     10    10  water leat          
  (   -3,   -75)      10       10     10    10  water leat          
  (   -3,   -74)      10       10     10    10  water leat          
  (   -3,   -73)      10       10     10    10  water leat          
  (   -3,   -72)      10       10     10    10  water leat          
  (   -3,   -71)      10       10     10    10  water leat          
  (   -3,   -70)      10       10     10    10  water leat          
  (   -3,   -69)      10       10     10    10  water leat          
  (   -3,   -68)      10       10     10    10  water leat          
  (   -3,   -67)      10       10     10    10  water leat          
  (   -3,   -66)      10       10     10    10  water leat          
  (   -3,   -65)      10       10     10    10  water leat          
  (   -3,   -64)      10       10     10    10  water leat          
  (   -3,   -63)      10       10     10    10  water leat          
  (   -3,   -62)      10       10     10    10  water leat          
  (   -3,   -61)      10       10     10    10  water leat          
  (   -3,   -60)      10       10     10    10  water leat          
  (   -3,   -59)      10       10     10    10  water leat          
  (   -3,   -58)      10       10     10    10  water leat          
  (   -3,   -57)      10       10     10    10  water leat          
  (   -3,   -56)      10       10     10    10  water leat          
  (   -3,   -55)      10       10     10    10  water leat          
  (   -3,   -54)      10       10     10    10  water leat          
  (   -3,   -53)      10       10     10    10  water leat          
  (   -3,   -52)      10       10     10    10  water leat          
  (   -3,   -51)      10       10     10    10  water leat          
  (   -3,   -50)      10       10     10    10  water leat          
  (   -3,   -49)      10       10     10    10  water leat          
  (   -3,   -48)      10       10     10    10  water leat          
  (   -3,   -47)      10       10     10    10  water leat          
  (   -3,   -46)      10       10     10    10  water leat          
  (   -3,   -45)      10       10     10    10  water leat          
  (   -3,   -44)      10       10     10    10  water leat          
  (   -3,   -43)      10       10     10    10  water leat          
  (   -3,   -42)      10       10     10    10  water leat          
  (   -3,   -41)      10       10           10  water leat          
  (   -3,   -40)      10       10           10                      
  (   -3,   -39)      10       10           10                      
  (   -3,   -38)      10       10           10                      
  (   -3,   -37)      10       10           10                      
  (   -3,   -36)      10       10           10                      
  (   -3,   -35)      10       10           10                      
  (   -3,   -34)       9        9            9                      -1
  (   -3,   -33)       9        9            9                      
  (   -3,   -32)       9        9            9                      
  (   -3,   -31)       8        8            8                      -1
rises 0, falls 3, worst step 4: 0 barrier, 0 scramble, 1 drop — DROP -4 at (-3, -85) | walked end to end
beside: water leat at (-5, -86)
