      |         0        |
      | 8765432101234567 |
  -15 |      SSSSSS      |
  -14 |      iSS@Si      |
  -13 |      SSSSSS      |
  -12 | BBBBBBBBBBBBBBBB |
  -11 | BBBBBBBBBBBBBBBB |
  -10 | BBBBBBBBBBBBBBBB |
   -9 | BBBBBBBBBBBBBBBB |
   -8 | BBBBBBBBBBBBBBBB |
   -7 | BBBBBBBBBBBBBBBB |
   -6 | BBBBBBBBBBBBBBBB |
   -5 | BBBBBBBBBBBBBBBB |
   -4 | AAAAAAAAAAAAAAAA |
   -3 | AAAAAAAAAAAAAAAA |
   -2 | AAAAAAAAAAAAAAAA |
   -1 | AAAAAAAAAAAAAAAA |
    0 | AAAAAAAAAAAAAAAA |
    1 | AAAAAAAAAAAAAAAA |
    2 | AAAAAAAAAAAAAAAA |
    3 | AAAAAAAAAAAAAAAA |
    4 | BBBBBBBBBBBBBBBB |
    5 | BBBBBBBBBBBBBBBB |
    6 | BBBBBBBBBBBBBBBB |
    7 | BBBBBBBBBBBBBBBB |
    8 | BBBBBBBBBBBBBBBB |
    9 | BBBBBBBBBBBBBBBB |
   10 | BBBBBBBBBBBBBBBB |
   11 | BBBBBBBBBBBBBBBB |
   12 |      SSSSSS      |
   13 |      iSS@Si      |
   14 |      SSSSSS      |
      16 × 30 cells drawn  ·  16 × 30 cells = 80 × 150 blocks  ·  cell 5
      @ spawn   A works (piece)   B yard (piece)   S lodge (spawn)   i iron   
