## pink-1 (wool) along x
TRANSECT 21 stations from (-68, -84) to (-48, -84), every 1
  station        ground  surface  water  top  standing            step
  (  -68,   -84)      15       15           20                      
  (  -67,   -84)      15       15           21  wool wool-2#1       
  (  -66,   -84)      15       15           22  wool wool-2#1       
  (  -65,   -84)      15       15           23  wool wool-2#1       
  (  -64,   -84)      15       15           23  wool wool-2#1       
  (  -63,   -84)      15       15           23  wool wool-2#1       
  (  -62,   -84)      15       15           23  wool wool-2#1       
  (  -61,   -84)      15       15           59  wool wool-2#1       
  (  -60,   -84)      15       15           59  wool wool-2#1       
  (  -59,   -84)      15       15           59  wool wool-2#1       
  (  -58,   -84)      15       15           23  wool wool-2#1       
  (  -57,   -84)      15       15           23  wool wool-2#1       
  (  -56,   -84)      15       15           23  wool wool-2#1       
  (  -55,   -84)      15       15           22  wool wool-2#1       
  (  -54,   -84)      15       15           21  wool wool-2#1       
  (  -53,   -84)      15       15           20                      
  (  -52,   -84)                                                    void
  (  -51,   -84)                                                    void
  (  -50,   -84)                                                    void
  (  -49,   -84)                                                    void
  (  -48,   -84)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: wool wool-2#1 at (-67, -86)

## pink-1 (wool) along z
TRANSECT 25 stations from (-60, -96) to (-60, -72), every 1
  station        ground  surface  water  top  standing            step
  (  -60,   -96)      15       15           15                      
  (  -60,   -95)      15       15           15                      
  (  -60,   -94)      15       15           15                      
  (  -60,   -93)      15       15           15                      
  (  -60,   -92)      15       15           15                      
  (  -60,   -91)      15       15           15                      
  (  -60,   -90)      15       15           15                      
  (  -60,   -89)      15       15           15                      
  (  -60,   -88)      15       15           20  redstoneline 1#1    
  (  -60,   -87)      15       15           21  wool wool-2#1       
  (  -60,   -86)      15       15           22  wool wool-2#1       
  (  -60,   -85)      15       15           59  wool wool-2#1       
  (  -60,   -84)      15       15           59  wool wool-2#1       
  (  -60,   -83)      15       15           59  wool wool-2#1       
  (  -60,   -82)      15       15           21  wool wool-2#1       
  (  -60,   -81)      15       15           20                      
  (  -60,   -80)                                                    void
  (  -60,   -79)                                                    void
  (  -60,   -78)                                                    void
  (  -60,   -77)                                                    void
  (  -60,   -76)                                                    void
  (  -60,   -75)                                                    void
  (  -60,   -74)                                                    void
  (  -60,   -73)                                                    void
  (  -60,   -72)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: flora cover-5#1 at (-62, -98), redstoneline 1#1 at (-62, -88), wool wool-2#1 at (-62, -87)
