      |          0         |
      | 987654321012345678 |
  -23 |  SSSS      CCCWWWW |
  -22 |  SSSS      CCCWWWW |
  -21 |  SS@S      CCCWW¤W |
  -20 |  SSiS      CCCWWWW |
  -19 |   AAAAAAAAAABBBBB  |
  -18 |   AAAAAAAAAABBBBB  |
  -17 |   AAAAAAAAAABBBBB  |
  -16 |   AAAAAAAAAABBBBB  |
  -15 |   EEEooDDDDooFFF   |
  -14 |   EEEooDDDDooFFF   |
  -13 |   EEEooD!DDooFFF   |
  -12 |   EEEooDDDDooFFF   |
  -11 |   EEEooDDDDooFFF   |
  -10 |   EEEooDDDDooFFF   |
   -9 |   EEEooDDDDooFFF   |
   -8 |   EEEooDDDDooFFF   |
   -7 |   EEEooDDDDooFFF   |
   -6 |   EEEooDDDDooFFF   |
   -5 |   EEEooDDDDooFFF   |
   -4 |   +++oo++++oo+++   |
   -3 |   +++oo++++oo+++   |
   -2 |   +++oo++++oo+++   |
   -1 |   +++oo++++oo+++   |
    0 |   +++oo++++oo+++   |
    1 |   +++oo++++oo+++   |
    2 |   +++oo++++oo+++   |
    3 |   +++oo++++oo+++   |
    4 |   FFFooDDDDooEEE   |
    5 |   FFFooDDDDooEEE   |
    6 |   FFFooDDDDooEEE   |
    7 |   FFFooDDDDooEEE   |
    8 |   FFFooDDDDooEEE   |
    9 |   FFFooDDDDooEEE   |
   10 |   FFFooDDDDooEEE   |
   11 |   FFFooDDDDooEEE   |
   12 |   FFFooDD!DooEEE   |
   13 |   FFFooDDDDooEEE   |
   14 |   FFFooDDDDooEEE   |
   15 |  BBBBBAAAAAAAAAA   |
   16 |  BBBBBAAAAAAAAAA   |
   17 |  BBBBBAAAAAAAAAA   |
   18 |  BBBBBAAAAAAAAAA   |
   19 | WWWWCCC      SSiS  |
   20 | WWWWCCC      SSSS  |
   21 | WW¤WCCC      SS@S  |
   22 | WWWWCCC      SSSS  |
      18 × 46 cells drawn  ·  18 × 46 cells = 90 × 230 blocks  ·  cell 5
      ! destroyable   @ spawn   A works (piece)   B spur (piece)   C lane (piece)   
      D quay-c (piece)   E quay-w (piece)   F quay-e (piece)   S spawn (spawn)   
      W cellar (wool-room)   i iron   ¤ wool   
