## spawn-red (spawn) along x
TRANSECT 17 stations from (-72, 68) to (-56, 68), every 1
  station        ground  surface  water  top  standing            step
  (  -72,    68)      18       18           28                      
  (  -71,    68)      18       18           29  spawn spawn-1       
  (  -70,    68)      18       18           30  spawn spawn-1       
  (  -69,    68)      18       18           31  spawn spawn-1       
  (  -68,    68)      18       18           31  spawn spawn-1       
  (  -67,    68)      18       18           30  spawn spawn-1       
  (  -66,    68)      18       18           29  spawn spawn-1       
  (  -65,    68)      18       18           28                      
  (  -64,    68)      18       18           18                      
  (  -63,    68)      18       18           18                      
  (  -62,    68)      18       18           18                      
  (  -61,    68)      18       18           18                      
  (  -60,    68)      18       18           18                      
  (  -59,    68)      18       18           18                      
  (  -58,    68)      18       18           18                      
  (  -57,    68)      18       18           18                      
  (  -56,    68)      18       18           18                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-71, 66)

## spawn-red (spawn) along z
TRANSECT 33 stations from (-68, 52) to (-68, 84), every 1
  station        ground  surface  water  top  standing            step
  (  -68,    52)                                                    void
  (  -68,    53)                                                    void
  (  -68,    54)                                                    void
  (  -68,    55)                                                    void
  (  -68,    56)                                                    void
  (  -68,    57)                                                    void
  (  -68,    58)                                                    void
  (  -68,    59)                                                    void
  (  -68,    60)      18       18           31                      
  (  -68,    61)      18       18           31  spawn spawn-1       
  (  -68,    62)      18       18           31  spawn spawn-1       
  (  -68,    63)      18       18           31  spawn spawn-1       
  (  -68,    64)      18       18           31  spawn spawn-1       
  (  -68,    65)      18       18           31  spawn spawn-1       
  (  -68,    66)      18       18           31  spawn spawn-1       
  (  -68,    67)      18       18           31  spawn spawn-1       
  (  -68,    68)      18       18           31  spawn spawn-1       
  (  -68,    69)      18       18           31  spawn spawn-1       
  (  -68,    70)      18       18           31  spawn spawn-1       
  (  -68,    71)      18       18           31  spawn spawn-1       
  (  -68,    72)      18       18           31  spawn spawn-1       
  (  -68,    73)      18       18           31  spawn spawn-1       
  (  -68,    74)      18       18           31  spawn spawn-1       
  (  -68,    75)      18       18           31                      
  (  -68,    76)                                                    void
  (  -68,    77)                                                    void
  (  -68,    78)                                                    void
  (  -68,    79)                                                    void
  (  -68,    80)                                                    void
  (  -68,    81)                                                    void
  (  -68,    82)                                                    void
  (  -68,    83)                                                    void
  (  -68,    84)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-70, 61)
