## dt-ford-0 (destroyable) along x
TRANSECT 25 stations from (-43, -49) to (-19, -49), every 1
  station        ground  surface  water  top  standing            step
  (  -43,   -49)      27       27           27                      
  (  -42,   -49)      27       27           27                      
  (  -41,   -49)      27       27           27                      
  (  -40,   -49)      27       27           27                      
  (  -39,   -49)      27       27           27                      
  (  -38,   -49)      27       27           27                      
  (  -37,   -49)      27       27           27                      
  (  -36,   -49)      27       27           27                      
  (  -35,   -49)      27       27           27                      
  (  -34,   -49)      27       27           27                      
  (  -33,   -49)      27       27           27  destroyable dt-ford  
  (  -32,   -49)      27       27           71  destroyable dt-ford  
  (  -31,   -49)      27       27           72  destroyable dt-ford  
  (  -30,   -49)      27       27           71  destroyable dt-ford  
  (  -29,   -49)      27       27           27  destroyable dt-ford  
  (  -28,   -49)      27       27           27                      
  (  -27,   -49)      27       27           27                      
  (  -26,   -49)      26       26           26                      -1
  (  -25,   -49)      27       27           27                      +1
  (  -24,   -49)      27       27           27                      
  (  -23,   -49)      27       27           27                      
  (  -22,   -49)      27       27           27                      
  (  -21,   -49)      27       27           27                      
  (  -20,   -49)      27       27           27                      
  (  -19,   -49)      28       28           28                      +1
rises 2, falls 1, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: destroyable dt-ford at (-33, -51)

## dt-ford-0 (destroyable) along z
TRANSECT 25 stations from (-31, -61) to (-31, -37), every 1
  station        ground  surface  water  top  standing            step
  (  -31,   -61)      32       32           32                      
  (  -31,   -60)      32       32           32                      
  (  -31,   -59)      32       32           32                      
  (  -31,   -58)      32       32           32                      
  (  -31,   -57)      32       32           32                      
  (  -31,   -56)      31       31           31                      -1
  (  -31,   -55)      31       31           31                      
  (  -31,   -54)      30       30           30                      -1
  (  -31,   -53)      29       29           29                      -1
  (  -31,   -52)      29       29           29                      
  (  -31,   -51)      28       28           28  destroyable dt-ford  -1
  (  -31,   -50)      27       27           71  destroyable dt-ford  -1
  (  -31,   -49)      27       27           72  destroyable dt-ford  
  (  -31,   -48)      26       26           71  destroyable dt-ford  -1
  (  -31,   -47)      26       26           26  destroyable dt-ford  
  (  -31,   -46)      25       25           25                      -1
  (  -31,   -45)      25       25           25                      
  (  -31,   -44)      25       25           25                      
  (  -31,   -43)      25       25           25                      
  (  -31,   -42)      25       25           25                      
  (  -31,   -41)      25       25           25                      
  (  -31,   -40)      24       24           24                      -1
  (  -31,   -39)      24       24           24                      
  (  -31,   -38)      23       23           23                      -1
  (  -31,   -37)      22       22           22                      -1
rises 0, falls 10, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: destroyable dt-ford at (-33, -51)
