## light_blue-1 (wool) along x
TRANSECT 21 stations from (-84, -52) to (-64, -52), every 1
  station        ground  surface  water  top  standing            step
  (  -84,   -52)      16       16           21                      
  (  -83,   -52)      16       16           22  wool wool-2#1       
  (  -82,   -52)      16       16           23  wool wool-2#1       
  (  -81,   -52)      16       16           24  wool wool-2#1       
  (  -80,   -52)      16       16           24  wool wool-2#1       
  (  -79,   -52)      16       16           24  wool wool-2#1       
  (  -78,   -52)      16       16           24  wool wool-2#1       
  (  -77,   -52)      16       16           54  wool wool-2#1       
  (  -76,   -52)      16       16           54  wool wool-2#1       
  (  -75,   -52)      16       16           54  wool wool-2#1       
  (  -74,   -52)      16       16           24  wool wool-2#1       
  (  -73,   -52)      16       16           24  wool wool-2#1       
  (  -72,   -52)      16       16           24  wool wool-2#1       
  (  -71,   -52)      16       16           23  wool wool-2#1       
  (  -70,   -52)      16       16           22  wool wool-2#1       
  (  -69,   -52)      16       16           21                      
  (  -68,   -52)                                                    void
  (  -67,   -52)                                                    void
  (  -66,   -52)                                                    void
  (  -65,   -52)                                                    void
  (  -64,   -52)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: wool wool-2#1 at (-83, -54)

## light_blue-1 (wool) along z
TRANSECT 25 stations from (-76, -64) to (-76, -40), every 1
  station        ground  surface  water  top  standing            step
  (  -76,   -64)      16       16           16                      
  (  -76,   -63)      16       16           16                      
  (  -76,   -62)      16       16           16                      
  (  -76,   -61)      16       16           16                      
  (  -76,   -60)      16       16           16                      
  (  -76,   -59)      16       16           16                      
  (  -76,   -58)      16       16           16                      
  (  -76,   -57)      16       16           16                      
  (  -76,   -56)      16       16           21  redstoneline 1#1    
  (  -76,   -55)      16       16           22  wool wool-2#1       
  (  -76,   -54)      16       16           23  wool wool-2#1       
  (  -76,   -53)      16       16           54  wool wool-2#1       
  (  -76,   -52)      16       16           54  wool wool-2#1       
  (  -76,   -51)      16       16           54  wool wool-2#1       
  (  -76,   -50)      16       16           22  wool wool-2#1       
  (  -76,   -49)      16       16           21                      
  (  -76,   -48)                                                    void
  (  -76,   -47)                                                    void
  (  -76,   -46)                                                    void
  (  -76,   -45)                                                    void
  (  -76,   -44)                                                    void
  (  -76,   -43)                                                    void
  (  -76,   -42)                                                    void
  (  -76,   -41)                                                    void
  (  -76,   -40)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: flora cover-4#1 at (-78, -66), redstoneline 1#1 at (-78, -56), wool wool-2#1 at (-78, -55)
