## spawn-red (spawn) along x
TRANSECT 25 stations from (-56, 72) to (-32, 72), every 1
  station        ground  surface  water  top  standing            step
  (  -56,    72)                                                    void
  (  -55,    72)                                                    void
  (  -54,    72)                                                    void
  (  -53,    72)                                                    void
  (  -52,    72)                                                    void
  (  -51,    72)                                                    void
  (  -50,    72)                                                    void
  (  -49,    72)                                                    void
  (  -48,    72)      14       14           24                      
  (  -47,    72)      14       14           25  spawn spawn-1       
  (  -46,    72)      14       14           26  spawn spawn-1       
  (  -45,    72)      14       14           27  spawn spawn-1       
  (  -44,    72)      14       14           27  spawn spawn-1       
  (  -43,    72)      14       14           26  spawn spawn-1       
  (  -42,    72)      14       14           25  spawn spawn-1       
  (  -41,    72)      14       14           24                      
  (  -40,    72)      14       14           14                      
  (  -39,    72)      14       14           14                      
  (  -38,    72)      14       14           14                      
  (  -37,    72)      14       14           14                      
  (  -36,    72)      14       14           14                      
  (  -35,    72)      15       15           15                      +1
  (  -34,    72)      15       15           15                      
  (  -33,    72)      15       15           15                      
  (  -32,    72)      14       14           14                      -1
rises 1, falls 1, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-47, 70)

## spawn-red (spawn) along z
TRANSECT 33 stations from (-44, 56) to (-44, 88), every 1
  station        ground  surface  water  top  standing            step
  (  -44,    56)                                                    void
  (  -44,    57)                                                    void
  (  -44,    58)                                                    void
  (  -44,    59)                                                    void
  (  -44,    60)                                                    void
  (  -44,    61)                                                    void
  (  -44,    62)                                                    void
  (  -44,    63)                                                    void
  (  -44,    64)      14       14           27                      
  (  -44,    65)      14       14           27  spawn spawn-1       
  (  -44,    66)      14       14           27  spawn spawn-1       
  (  -44,    67)      14       14           27  spawn spawn-1       
  (  -44,    68)      14       14           27  spawn spawn-1       
  (  -44,    69)      14       14           27  spawn spawn-1       
  (  -44,    70)      14       14           27  spawn spawn-1       
  (  -44,    71)      14       14           27  spawn spawn-1       
  (  -44,    72)      14       14           27  spawn spawn-1       
  (  -44,    73)      14       14           27  spawn spawn-1       
  (  -44,    74)      14       14           27  spawn spawn-1       
  (  -44,    75)      14       14           27  spawn spawn-1       
  (  -44,    76)      14       14           27  spawn spawn-1       
  (  -44,    77)      14       14           27  spawn spawn-1       
  (  -44,    78)      14       14           27  spawn spawn-1       
  (  -44,    79)      14       14           27                      
  (  -44,    80)                                                    void
  (  -44,    81)                                                    void
  (  -44,    82)                                                    void
  (  -44,    83)                                                    void
  (  -44,    84)                                                    void
  (  -44,    85)                                                    void
  (  -44,    86)                                                    void
  (  -44,    87)                                                    void
  (  -44,    88)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1 at (-46, 65)
