      |    1         0         1   |
      | 32109876543210123456789012 |
  -12 |                   AAAAASSA |
  -11 |                   AAAAAS@A |
  -10 |                   AAAAAAAA |
   -9 |                   AAAAAAAA |
   -8 |                   AAAAAAAA |
   -7 |                   AAAAAAAA |
   -6 |                   AAAAAAAA |
   -5 |                   AAAAAAAA |
   -4 |                   AAA!AAAA |
   -3 |    BBBBBBBC++++CBBBBBBBAAA |
   -2 |    BBBBBBBC++++CBBBBBBB    |
   -1 |    BBBBBBBC++++CBBBBBBB    |
    0 |    BBBBBBBC++++CBBBBBBB    |
    1 |    BBBBBBBC++++CBBBBBBB    |
    2 | AAABBBBBBBC++++CBBBBBBB    |
    3 | AAAAAAAA                   |
    4 | AAAAA!AA                   |
    5 | AAAAAAAA                   |
    6 | AAAAAAAA                   |
    7 | AAAAAAAA                   |
    8 | AAAAAAAA                   |
    9 | AAAAAAAA                   |
   10 | ASSAAAAA                   |
   11 | AS@AAAAA                   |
      26 × 24 cells drawn  ·  26 × 24 cells = 130 × 120 blocks  ·  cell 5
      ! destroyable   @ spawn   A moor (piece)   B neck (piece)   C quay (piece)   
      S spawn (spawn)   
