## destroyable-1-0 (destroyable) along x
TRANSECT 25 stations from (-21, -50) to (3, -50), every 1
  station        ground  surface  water  top  standing            step
  (  -21,   -50)      27       27           27                      
  (  -20,   -50)      24       24           24                      -3
  (  -19,   -50)      19       19           19                      DROP -5
  (  -18,   -50)      14       14           14                      DROP -5
  (  -17,   -50)      14       14           14                      
  (  -16,   -50)      14       14           14                      
  (  -15,   -50)      14       14           14                      
  (  -14,   -50)      14       14           14                      
  (  -13,   -50)      14       14           14                      
  (  -12,   -50)      14       14           14                      
  (  -11,   -50)      14       14           14  destroyable destroyable-1  
  (  -10,   -50)      14       14           62  destroyable destroyable-1  
  (   -9,   -50)      14       14           63  destroyable destroyable-1  
  (   -8,   -50)      15       15           62  destroyable destroyable-1  +1
  (   -7,   -50)      14       14           14  destroyable destroyable-1  -1
  (   -6,   -50)      14       14           14                      
  (   -5,   -50)      14       14           14                      
  (   -4,   -50)      14       14           14                      
  (   -3,   -50)      14       14           14                      
  (   -2,   -50)      14       14           14                      
  (   -1,   -50)      14       14           14                      
  (    0,   -50)      14       14           14                      
  (    1,   -50)      19       19           19                      BARRIER +5
  (    2,   -50)      24       24           25  house works-shed    BARRIER +5
  (    3,   -50)      24       24           25  house works-shed    
rises 3, falls 4, worst step 5: 2 barrier, 0 scramble, 2 drop — DROP -5 at (-19, -50); DROP -5 at (-18, -50); BARRIER +5 at (1, -50); BARRIER +5 at (2, -50) | walked end to end
beside: destroyable destroyable-1 at (-11, -52), house works-shed at (2, -52)

## destroyable-1-0 (destroyable) along z
TRANSECT 25 stations from (-9, -62) to (-9, -38), every 1
  station        ground  surface  water  top  standing            step
  (   -9,   -62)      24       24           24                      
  (   -9,   -61)      19       19           19                      DROP -5
  (   -9,   -60)      14       14           14                      DROP -5
  (   -9,   -59)      14       14           14                      
  (   -9,   -58)      14       14           14                      
  (   -9,   -57)      14       14           14                      
  (   -9,   -56)      14       14           14                      
  (   -9,   -55)      14       14           14                      
  (   -9,   -54)      14       14           14                      
  (   -9,   -53)      14       14           14                      
  (   -9,   -52)      14       14           14  destroyable destroyable-1  
  (   -9,   -51)      14       14           62  destroyable destroyable-1  
  (   -9,   -50)      14       14           63  destroyable destroyable-1  
  (   -9,   -49)      14       14           62  destroyable destroyable-1  
  (   -9,   -48)      14       14           14  destroyable destroyable-1  
  (   -9,   -47)      14       14           14                      
  (   -9,   -46)      14       14           14                      
  (   -9,   -45)      14       14           14                      
  (   -9,   -44)      14       14           14                      
  (   -9,   -43)      14       14           14                      
  (   -9,   -42)      14       14           14                      
  (   -9,   -41)      14       14           14                      
  (   -9,   -40)      14       14           14                      
  (   -9,   -39)      15       15           15                      +1
  (   -9,   -38)      15       15           15                      
rises 1, falls 2, worst step 5: 0 barrier, 0 scramble, 2 drop — DROP -5 at (-9, -61); DROP -5 at (-9, -60) | walked end to end
beside: destroyable destroyable-1 at (-11, -52)
