## blue-1 (wool) along x
TRANSECT 25 stations from (-11, -82) to (13, -82), every 1
  station        ground  surface  water  top  standing            step
  (  -11,   -82)                                                    void
  (  -10,   -82)                                                    void
  (   -9,   -82)                                                    void
  (   -8,   -82)                                                    void
  (   -7,   -82)                                                    void
  (   -6,   -82)                                                    void
  (   -5,   -82)                                                    void
  (   -4,   -82)      13       13           13                      
  (   -3,   -82)      13       13           21  wool wool-1#1       
  (   -2,   -82)      13       13           21  wool wool-1#1       
  (   -1,   -82)      13       13           40  wool wool-1#1       
  (    0,   -82)      13       13           40  wool wool-1#1       
  (    1,   -82)      13       13           40  wool wool-1#1       
  (    2,   -82)      13       13           21  wool wool-1#1       
  (    3,   -82)      13       13           21  wool wool-1#1       
  (    4,   -82)      13       13           13                      
  (    5,   -82)      13       13           13                      
  (    6,   -82)      13       13           13                      
  (    7,   -82)      13       13           13                      
  (    8,   -82)      13       13           13                      
  (    9,   -82)      13       13           13                      
  (   10,   -82)      13       13           13                      
  (   11,   -82)      13       13           14  redstoneline 0#1    
  (   12,   -82)      13       13           13                      
  (   13,   -82)      13       13           13                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: wool wool-1#1 at (-3, -84), redstoneline 0#1 at (11, -84)

## blue-1 (wool) along z
TRANSECT 19 stations from (1, -88) to (1, -70), every 1
  station        ground  surface  water  top  standing            step
  (    1,   -88)      13       13           13                      
  (    1,   -87)      13       13           21  wool wool-1#1       
  (    1,   -86)      13       13           21  wool wool-1#1       
  (    1,   -85)      13       13           21  wool wool-1#1       
  (    1,   -84)      13       13           13  wool wool-1#1       
  (    1,   -83)      13       13           40  wool wool-1#1       
  (    1,   -82)      13       13           40  wool wool-1#1       
  (    1,   -81)      13       13           40  wool wool-1#1       
  (    1,   -80)      13       13           21  wool wool-1#1       
  (    1,   -79)      13       13           21  wool wool-1#1       
  (    1,   -78)      13       13           21  wool wool-1#1       
  (    1,   -77)      13       13           13                      
  (    1,   -76)                                                    void
  (    1,   -75)                                                    void
  (    1,   -74)                                                    void
  (    1,   -73)                                                    void
  (    1,   -72)                                                    void
  (    1,   -71)                                                    void
  (    1,   -70)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: wool wool-1#1 at (-1, -87)
