## spawn-blue (spawn) along x
TRANSECT 26 stations from (104, 0) to (129, 0), every 1
  station        ground  surface  water  top  standing            step
  (  104,     0)      40       40           40                      
  (  105,     0)      40       40           40                      
  (  106,     0)      40       40           40                      
  (  107,     0)      40       40           40                      
  (  108,     0)      40       40           40                      
  (  109,     0)      40       40           40                      
  (  110,     0)      41       41           41                      +1
  (  111,     0)      41       41           41                      
  (  112,     0)      41       41           41                      
  (  113,     0)      41       41           41                      
  (  114,     0)      41       41           41                      
  (  115,     0)      41       41           41                      
  (  116,     0)      41       41           41                      
  (  117,     0)      41       41           49  spawn red-spawn#1   
  (  118,     0)      41       41           49  spawn red-spawn#1   
  (  119,     0)      41       41           49  spawn red-spawn#1   
  (  120,     0)      41       41           49  spawn red-spawn#1   
  (  121,     0)      41       41           49  spawn red-spawn#1   
  (  122,     0)      41       41           41  spawn red-spawn#1   
  (  123,     0)      41       41           41  spawn red-spawn#1   
  (  124,     0)      41       41           41  spawn red-spawn#1   
  (  125,     0)      41       41           41  spawn red-spawn#1   
  (  126,     0)      41       41           49  spawn red-spawn#1   
  (  127,     0)      41       41           49  spawn red-spawn#1   
  (  128,     0)      41       41           49  spawn red-spawn#1   
  (  129,     0)      41       41           49  spawn red-spawn#1   
rises 1, falls 0, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn red-spawn#1 at (117, -2)

## spawn-blue (spawn) along z
TRANSECT 33 stations from (122, -16) to (122, 16), every 1
  station        ground  surface  water  top  standing            step
  (  122,   -16)      41       41           41                      
  (  122,   -15)      42       42           42                      +1
  (  122,   -14)      42       42           42                      
  (  122,   -13)      42       42           42                      
  (  122,   -12)      42       42           42                      
  (  122,   -11)      42       42           42                      
  (  122,   -10)      42       42           42                      
  (  122,    -9)      42       42           42                      
  (  122,    -8)      41       41           41                      -1
  (  122,    -7)      41       41           49  spawn red-spawn#1   
  (  122,    -6)      41       41           49  spawn red-spawn#1   
  (  122,    -5)      41       41           49  spawn red-spawn#1   
  (  122,    -4)      41       41           49  spawn red-spawn#1   
  (  122,    -3)      41       41           49  spawn red-spawn#1   
  (  122,    -2)      41       41           41  spawn red-spawn#1   
  (  122,    -1)      41       41           41  spawn red-spawn#1   
  (  122,     0)      41       41           41  spawn red-spawn#1   
  (  122,     1)      41       41           41  spawn red-spawn#1   
  (  122,     2)      41       41           49  spawn red-spawn#1   
  (  122,     3)      41       41           49  spawn red-spawn#1   
  (  122,     4)      41       41           49  spawn red-spawn#1   
  (  122,     5)      41       41           49  spawn red-spawn#1   
  (  122,     6)      41       41           49  spawn red-spawn#1   
  (  122,     7)      41       41           41                      
  (  122,     8)      41       41           41                      
  (  122,     9)      42       42           42                      +1
  (  122,    10)      42       42           42                      
  (  122,    11)      42       42           42                      
  (  122,    12)      41       41           41                      -1
  (  122,    13)      41       41           41                      
  (  122,    14)      41       41           41                      
  (  122,    15)      40       40           40                      -1
  (  122,    16)      40       40           40                      
rises 2, falls 3, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn red-spawn#1 at (120, -7)
