## orange-0 (wool) along x
TRANSECT 19 stations from (-52, 83) to (-34, 83), every 1
  station        ground  surface  water  top  standing            step
  (  -52,    83)      11       11           11                      
  (  -51,    83)      11       11           19  wool wool-2         
  (  -50,    83)      11       11           19  wool wool-2         
  (  -49,    83)      11       11           19  wool wool-2         
  (  -48,    83)      11       11           11  wool wool-2         
  (  -47,    83)      11       11           40  wool wool-2         
  (  -46,    83)      11       11           40  wool wool-2         
  (  -45,    83)      11       11           40  wool wool-2         
  (  -44,    83)      11       11           19  wool wool-2         
  (  -43,    83)      11       11           19  wool wool-2         
  (  -42,    83)      11       11           19  wool wool-2         
  (  -41,    83)      11       11           11                      
  (  -40,    83)                                                    void
  (  -39,    83)                                                    void
  (  -38,    83)                                                    void
  (  -37,    83)                                                    void
  (  -36,    83)                                                    void
  (  -35,    83)                                                    void
  (  -34,    83)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: wool wool-2 at (-51, 81)

## orange-0 (wool) along z
TRANSECT 25 stations from (-46, 71) to (-46, 95), every 1
  station        ground  surface  water  top  standing            step
  (  -46,    71)      11       11           11                      
  (  -46,    72)      11       11           12  redstoneline 1      
  (  -46,    73)      11       11           11                      
  (  -46,    74)      11       11           11                      
  (  -46,    75)      11       11           11                      
  (  -46,    76)      11       11           11                      
  (  -46,    77)      11       11           11                      
  (  -46,    78)      11       11           11                      
  (  -46,    79)      11       11           11                      
  (  -46,    80)      11       11           19  wool wool-2         
  (  -46,    81)      11       11           19  wool wool-2         
  (  -46,    82)      11       11           40  wool wool-2         
  (  -46,    83)      11       11           40  wool wool-2         
  (  -46,    84)      11       11           40  wool wool-2         
  (  -46,    85)      11       11           19  wool wool-2         
  (  -46,    86)      11       11           19  wool wool-2         
  (  -46,    87)      11       11           11                      
  (  -46,    88)                                                    void
  (  -46,    89)                                                    void
  (  -46,    90)                                                    void
  (  -46,    91)                                                    void
  (  -46,    92)                                                    void
  (  -46,    93)                                                    void
  (  -46,    94)                                                    void
  (  -46,    95)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: redstoneline 1 at (-48, 72), wool wool-2 at (-48, 80)
