## spawn-blue (spawn) along x
TRANSECT 28 stations from (104, 0) to (131, 0), every 1
  station        ground  surface  water  top  standing            step
  (  104,     0)      29       29           29                      
  (  105,     0)      29       29           29                      
  (  106,     0)      29       29           29                      
  (  107,     0)      29       29           29                      
  (  108,     0)      29       29           29                      
  (  109,     0)      29       29           29                      
  (  110,     0)      30       30           30                      +1
  (  111,     0)      30       30           30                      
  (  112,     0)      30       30           30                      
  (  113,     0)      30       30           30                      
  (  114,     0)      30       30           30                      
  (  115,     0)      30       30           30                      
  (  116,     0)      30       30           30                      
  (  117,     0)      30       30           38  spawn red-spawn#1   
  (  118,     0)      30       30           38  spawn red-spawn#1   
  (  119,     0)      30       30           38  spawn red-spawn#1   
  (  120,     0)      30       30           38  spawn red-spawn#1   
  (  121,     0)      30       30           38  spawn red-spawn#1   
  (  122,     0)      30       30           30  spawn red-spawn#1   
  (  123,     0)      30       30           30  spawn red-spawn#1   
  (  124,     0)      30       30           30  spawn red-spawn#1   
  (  125,     0)      30       30           30  spawn red-spawn#1   
  (  126,     0)      30       30           38  spawn red-spawn#1   
  (  127,     0)      30       30           38  spawn red-spawn#1   
  (  128,     0)      30       30           38  spawn red-spawn#1   
  (  129,     0)      30       30           38  spawn red-spawn#1   
  (  130,     0)      30       30           38  spawn red-spawn#1   
  (  131,     0)      30       30           30                      
rises 1, falls 0, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn red-spawn#1 at (117, -2)

## spawn-blue (spawn) along z
TRANSECT 33 stations from (122, -16) to (122, 16), every 1
  station        ground  surface  water  top  standing            step
  (  122,   -16)      30       30           30                      
  (  122,   -15)      30       30           30                      
  (  122,   -14)      30       30           30                      
  (  122,   -13)      30       30           30                      
  (  122,   -12)      30       30           30                      
  (  122,   -11)      30       30           30                      
  (  122,   -10)      30       30           30                      
  (  122,    -9)      30       30           30                      
  (  122,    -8)      30       30           30                      
  (  122,    -7)      30       30           38  spawn red-spawn#1   
  (  122,    -6)      30       30           38  spawn red-spawn#1   
  (  122,    -5)      30       30           38  spawn red-spawn#1   
  (  122,    -4)      30       30           38  spawn red-spawn#1   
  (  122,    -3)      30       30           38  spawn red-spawn#1   
  (  122,    -2)      30       30           30  spawn red-spawn#1   
  (  122,    -1)      30       30           30  spawn red-spawn#1   
  (  122,     0)      30       30           30  spawn red-spawn#1   
  (  122,     1)      30       30           30  spawn red-spawn#1   
  (  122,     2)      30       30           38  spawn red-spawn#1   
  (  122,     3)      30       30           38  spawn red-spawn#1   
  (  122,     4)      30       30           38  spawn red-spawn#1   
  (  122,     5)      30       30           38  spawn red-spawn#1   
  (  122,     6)      30       30           38  spawn red-spawn#1   
  (  122,     7)      30       30           30                      
  (  122,     8)      30       30           30                      
  (  122,     9)      30       30           30                      
  (  122,    10)      30       30           30                      
  (  122,    11)      30       30           30                      
  (  122,    12)      30       30           30                      
  (  122,    13)      30       30           30                      
  (  122,    14)      30       30           30                      
  (  122,    15)      30       30           30                      
  (  122,    16)      30       30           30                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn red-spawn#1 at (120, -7)
