## spawn-red (spawn) along x
TRANSECT 30 stations from (-133, 0) to (-104, 0), every 1
  station        ground  surface  water  top  standing            step
  ( -133,     0)      30       30           30                      
  ( -132,     0)      30       30           30                      
  ( -131,     0)      30       30           38  spawn red-spawn     
  ( -130,     0)      30       30           38  spawn red-spawn     
  ( -129,     0)      30       30           38  spawn red-spawn     
  ( -128,     0)      30       30           38  spawn red-spawn     
  ( -127,     0)      30       30           38  spawn red-spawn     
  ( -126,     0)      30       30           30  spawn red-spawn     
  ( -125,     0)      30       30           30  spawn red-spawn     
  ( -124,     0)      30       30           30  spawn red-spawn     
  ( -123,     0)      30       30           30  spawn red-spawn     
  ( -122,     0)      30       30           38  spawn red-spawn     
  ( -121,     0)      30       30           38  spawn red-spawn     
  ( -120,     0)      30       30           38  spawn red-spawn     
  ( -119,     0)      30       30           38  spawn red-spawn     
  ( -118,     0)      30       30           38  spawn red-spawn     
  ( -117,     0)      30       30           30                      
  ( -116,     0)      30       30           30                      
  ( -115,     0)      30       30           30                      
  ( -114,     0)      30       30           30                      
  ( -113,     0)      30       30           30                      
  ( -112,     0)      30       30           30                      
  ( -111,     0)      30       30           30                      
  ( -110,     0)      29       29           29                      -1
  ( -109,     0)      29       29           29                      
  ( -108,     0)      29       29           29                      
  ( -107,     0)      29       29           29                      
  ( -106,     0)      29       29           29                      
  ( -105,     0)      29       29           29                      
  ( -104,     0)      29       29           29                      
rises 0, falls 1, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn red-spawn at (-131, -2)

## spawn-red (spawn) along z
TRANSECT 33 stations from (-122, -16) to (-122, 16), every 1
  station        ground  surface  water  top  standing            step
  ( -122,   -16)      30       30           30                      
  ( -122,   -15)      30       30           30                      
  ( -122,   -14)      30       30           30                      
  ( -122,   -13)      30       30           30                      
  ( -122,   -12)      30       30           30                      
  ( -122,   -11)      30       30           30                      
  ( -122,   -10)      30       30           30                      
  ( -122,    -9)      30       30           30                      
  ( -122,    -8)      30       30           30                      
  ( -122,    -7)      30       30           38  spawn red-spawn     
  ( -122,    -6)      30       30           38  spawn red-spawn     
  ( -122,    -5)      30       30           38  spawn red-spawn     
  ( -122,    -4)      30       30           38  spawn red-spawn     
  ( -122,    -3)      30       30           38  spawn red-spawn     
  ( -122,    -2)      30       30           38  spawn red-spawn     
  ( -122,    -1)      30       30           38  spawn red-spawn     
  ( -122,     0)      30       30           38  spawn red-spawn     
  ( -122,     1)      30       30           38  spawn red-spawn     
  ( -122,     2)      30       30           38  spawn red-spawn     
  ( -122,     3)      30       30           38  spawn red-spawn     
  ( -122,     4)      30       30           38  spawn red-spawn     
  ( -122,     5)      30       30           38  spawn red-spawn     
  ( -122,     6)      30       30           38  spawn red-spawn     
  ( -122,     7)      30       30           30                      
  ( -122,     8)      30       30           30                      
  ( -122,     9)      30       30           30                      
  ( -122,    10)      30       30           30                      
  ( -122,    11)      30       30           30                      
  ( -122,    12)      30       30           30                      
  ( -122,    13)      30       30           30                      
  ( -122,    14)      30       30           30                      
  ( -122,    15)      30       30           30                      
  ( -122,    16)      30       30           30                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn red-spawn at (-124, -7)
