      |        0       |
      | 76543210123456 |
  -27 | CCCCCCSSSSSBBB |
  -26 | CCCCCCSSSSSBBB |
  -25 | CCCCCCSS@SiBBB |
  -24 | CCCCCCSSSSSBBB |
  -23 | AAAAAAAAAAAAAA |
  -22 | AAAAAAAAAAAAAA |
  -21 | AAAAAAAAAAAAAA |
  -20 | AAAAAAAAAAAAAA |
  -19 | AAAAAAAAAAAAAA |
  -18 | AAAAAAAAAAAAAA |
  -17 | AAAAAAAAAAAAAA |
  -16 | AAA!AAAAAAAAAA |
  -15 | AAAAAAAAAAAAAA |
  -14 | AAAAAAAAAAAAAA |
  -13 | AAAAAAAAAAAAAA |
  -12 | AAAAAAAAAAAAAA |
  -11 | AAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAA |
   -9 | AAAAAAAAAAAAAA |
   -8 | AAAAAAAAAAAAAA |
   -7 | AAAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAA |
   -4 | AAAAAAAAAAAAAA |
   -3 | AAAAAAAAAAAAAA |
   -2 | ++++++++++++++ |
   -1 | ++++++++++++++ |
    0 | ++++++++++++++ |
    1 | ++++++++++++++ |
    2 | AAAAAAAAAAAAAA |
    3 | AAAAAAAAAAAAAA |
    4 | AAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAAAA |
    7 | AAAAAAAAAAAAAA |
    8 | AAAAAAAAAAAAAA |
    9 | AAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAA |
   11 | AAAAAAAAAAAAAA |
   12 | AAAAAAAAAAAAAA |
   13 | AAAAAAAAAAAAAA |
   14 | AAAAAAAAAAAAAA |
   15 | AAAAAAAAAA!AAA |
   16 | AAAAAAAAAAAAAA |
   17 | AAAAAAAAAAAAAA |
   18 | AAAAAAAAAAAAAA |
   19 | AAAAAAAAAAAAAA |
   20 | AAAAAAAAAAAAAA |
   21 | AAAAAAAAAAAAAA |
   22 | AAAAAAAAAAAAAA |
   23 | BBBSSSSSCCCCCC |
   24 | BBBSSSSSCCCCCC |
   25 | BBBiS@SSCCCCCC |
   26 | BBBSSSSSCCCCCC |
      14 × 54 cells drawn  ·  14 × 54 cells = 56 × 216 blocks  ·  cell 4
      ! destroyable   @ spawn   A down (piece)   B fold-w (piece)   C fold-e (piece)   
      S steading (spawn)   i iron   
