## dew-pond (water) along x
TRANSECT 33 stations from (-30, 46) to (2, 46), every 1
  station        ground  surface  water  top  standing            step
  (  -30,    46)                                                    void
  (  -29,    46)       7        7            7                      
  (  -28,    46)       7        7            7                      
  (  -27,    46)       7        7            7                      
  (  -26,    46)       7        7            7                      
  (  -25,    46)       7        7            7                      
  (  -24,    46)       7        7            7                      
  (  -23,    46)       7        7            7  water dew-pond      
  (  -22,    46)       7        7      6     6  water dew-pond      
  (  -21,    46)       7        7      6     6  water dew-pond      
  (  -20,    46)       7        7      6     6  water dew-pond      
  (  -19,    46)       7        7      6     6  water dew-pond      
  (  -18,    46)       7        7      6     6  water dew-pond      
  (  -17,    46)       7        7      6     6  water dew-pond      
  (  -16,    46)       7        7      6     6  water dew-pond      
  (  -15,    46)       7        7      6     6  water dew-pond      
  (  -14,    46)       7        7      6     6  water dew-pond      
  (  -13,    46)       7        7      6     6  water dew-pond      
  (  -12,    46)       7        7      6     6  water dew-pond      
  (  -11,    46)       7        7      6     6  water dew-pond      
  (  -10,    46)       7        7            7  water dew-pond      
  (   -9,    46)       7        7            7  water dew-pond      
  (   -8,    46)       7        7           16  tree beech-4        
  (   -7,    46)       8        8           19  tree beech-4        +1
  (   -6,    46)       8        8           21  tree beech-4        
  (   -5,    46)       9        9           21  tree beech-4        +1
  (   -4,    46)       9        9           22  tree beech-4        
  (   -3,    46)      10       10           23  tree beech-4        +1
  (   -2,    46)      10       10           23  tree beech-4        
  (   -1,    46)      10       10           22  tree beech-4        
  (    0,    46)      11       11           22  tree beech-4        +1
  (    1,    46)      11       11           20  tree beech-4        
  (    2,    46)      11       11           18  tree beech-4        
rises 4, falls 0, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: water dew-pond at (-23, 44), tree beech-0 at (-12, 48), tree beech-4 at (-8, 46)

## dew-pond (water) along z
TRANSECT 39 stations from (-16, 27) to (-16, 65), every 1
  station        ground  surface  water  top  standing            step
  (  -16,    27)       8        8           16  tree thorn-0        
  (  -16,    28)       8        8           12  tree thorn-0        
  (  -16,    29)       8        8           16  tree thorn-0        
  (  -16,    30)       8        8           16  tree thorn-0        
  (  -16,    31)       8        8           17  tree thorn-0        
  (  -16,    32)       8        8           15  tree thorn-0        
  (  -16,    33)       8        8           17  tree thorn-0        
  (  -16,    34)       8        8           14  tree thorn-0        
  (  -16,    35)       7        7           15  tree thorn-0        -1
  (  -16,    36)       7        7           15  tree thorn-0        
  (  -16,    37)       7        7            7  water dew-pond      
  (  -16,    38)       7        7            7  water dew-pond      
  (  -16,    39)       7        7      6     6  water dew-pond      
  (  -16,    40)       6        6      6     6  water dew-pond      -1
  (  -16,    41)       7        7      6     6  water dew-pond      +1
  (  -16,    42)       7        7      6     6  water dew-pond      
  (  -16,    43)       7        7      6     6  water dew-pond      
  (  -16,    44)       7        7      6     6  water dew-pond      
  (  -16,    45)       7        7      6     6  water dew-pond      
  (  -16,    46)       7        7      6     6  water dew-pond      
  (  -16,    47)       7        7      6     6  water dew-pond      
  (  -16,    48)       7        7      6     6  water dew-pond      
  (  -16,    49)       7        7      6     6  water dew-pond      
  (  -16,    50)       7        7      6     6  water dew-pond      
  (  -16,    51)       7        7      6     6  water dew-pond      
  (  -16,    52)       7        7      6     6  water dew-pond      
  (  -16,    53)       7        7            7  water dew-pond      
  (  -16,    54)       8        8            8                      +1
  (  -16,    55)       9        9            9                      +1
  (  -16,    56)       9        9            9                      
  (  -16,    57)      10       10           10                      +1
  (  -16,    58)      10       10           10                      
  (  -16,    59)      11       11           11                      +1
  (  -16,    60)      11       11           11                      
  (  -16,    61)      11       11           16  house fold-house    
  (  -16,    62)      12       12           17  house fold-house    +1
  (  -16,    63)      12       12           18  house fold-house    
  (  -16,    64)      13       13           19  house fold-house    +1
  (  -16,    65)      13       13           20  house fold-house    
rises 7, falls 2, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: tree thorn-0 at (-18, 25), water dew-pond at (-14, 36), tree beech-0 at (-14, 50), house fold-house at (-18, 61)
