## spawn-blue (spawn) along x
TRANSECT 37 stations from (-12, -100) to (24, -100), every 1
  station        ground  surface  water  top  standing            step
  (  -12,  -100)      19       19           19                      
  (  -11,  -100)      19       21           21  storey              scramble +2
  (  -10,  -100)      19       21           21  storey              
  (   -9,  -100)      19       19           19                      -2
  (   -8,  -100)      19       19           19                      
  (   -7,  -100)      19       19           19                      
  (   -6,  -100)      19       19           19                      
  (   -5,  -100)      19       19           19                      
  (   -4,  -100)      19       19           19                      
  (   -3,  -100)      19       19           19                      
  (   -2,  -100)      19       19           19                      
  (   -1,  -100)      19       19           26                      
  (    0,  -100)      19       19           27  spawn spawn-steading#1  
  (    1,  -100)      19       19           28  spawn spawn-steading#1  
  (    2,  -100)      19       19           29  spawn spawn-steading#1  
  (    3,  -100)      19       19           30  spawn spawn-steading#1  
  (    4,  -100)      19       19           31  spawn spawn-steading#1  
  (    5,  -100)      19       19           31  spawn spawn-steading#1  
  (    6,  -100)      19       19           30  spawn spawn-steading#1  
  (    7,  -100)      19       19           29  spawn spawn-steading#1  
  (    8,  -100)      19       19           28  spawn spawn-steading#1  
  (    9,  -100)      19       19           27  spawn spawn-steading#1  
  (   10,  -100)      19       19           26                      
  (   11,  -100)      19       19           19                      
  (   12,  -100)      19       19           22  ironcube spawn-steading:0#1  
  (   13,  -100)      19       19           22  ironcube spawn-steading:0#1  
  (   14,  -100)      19       19           22  ironcube spawn-steading:0#1  
  (   15,  -100)      19       19           19                      
  (   16,  -100)      19       19           19                      
  (   17,  -100)      19       19           19                      
  (   18,  -100)      19       19           19                      
  (   19,  -100)      19       21           21  storey              scramble +2
  (   20,  -100)      19       21           21  storey              
  (   21,  -100)      19       19           19                      -2
  (   22,  -100)      19       19           19                      
  (   23,  -100)      19       19           19                      
  (   24,  -100)                                                    void
rises 2, falls 2, worst step 2: 0 barrier, 2 scramble, 0 drop — scramble +2 at (-11, -100); scramble +2 at (19, -100) | walked end to end
beside: spawn spawn-steading#1 at (0, -102), ironcube spawn-steading:0#1 at (12, -102)

## spawn-blue (spawn) along z
TRANSECT 25 stations from (6, -108) to (6, -84), every 1
  station        ground  surface  water  top  standing            step
  (    6,  -108)      19       19           19                      
  (    6,  -107)      19       21           26  storey              scramble +2
  (    6,  -106)      19       21           27  spawn spawn-steading#1  
  (    6,  -105)      19       19           28  spawn spawn-steading#1  -2
  (    6,  -104)      19       19           29  spawn spawn-steading#1  
  (    6,  -103)      19       19           30  spawn spawn-steading#1  
  (    6,  -102)      19       19           30  spawn spawn-steading#1  
  (    6,  -101)      19       19           30  spawn spawn-steading#1  
  (    6,  -100)      19       19           30  spawn spawn-steading#1  
  (    6,   -99)      19       19           30  spawn spawn-steading#1  
  (    6,   -98)      19       19           30  spawn spawn-steading#1  
  (    6,   -97)      19       19           29  spawn spawn-steading#1  
  (    6,   -96)      19       19           28  spawn spawn-steading#1  
  (    6,   -95)      19       19           27  stroke steading-track#1  
  (    6,   -94)      19       19           26  stroke steading-track#1  
  (    6,   -93)      19       19           19  stroke steading-track#1  
  (    6,   -92)      19       19           19  stroke steading-track#1  
  (    6,   -91)      19       19           19                      
  (    6,   -90)      19       19           19                      
  (    6,   -89)      19       19           19                      
  (    6,   -88)      19       19           19                      
  (    6,   -87)      19       19           19                      
  (    6,   -86)      19       19           19                      
  (    6,   -85)      19       19           19                      
  (    6,   -84)      18       18           18                      -1
rises 1, falls 2, worst step 2: 0 barrier, 1 scramble, 0 drop — scramble +2 at (6, -107) | walked end to end
beside: spawn spawn-steading#1 at (4, -106), stroke steading-track#1 at (4, -96)
