      |  -1         0         1  |
      | 210987654321012345678901 |
  -26 |          LLSSSSS         |
  -25 |          LLSSSSS         |
  -24 |          LLSS@Si         |
  -23 | VVVV     LLSSSSS    WWWW |
  -22 | VV¤V     LLSSSSS    WW¤W |
  -21 | VVVV    KKKKKKKK    WWWW |
  -20 | JJJJ    KKKKKKKK    HHHH |
  -19 | JJJJ    KKKKKKKK    HHHH |
  -18 | JJJJ    KKKKKKKK    HHHH |
  -17 | JJJJ    KKKKKKKK    HHHH |
  -16 | DDDDGGGGFFFFFFFFEEEECCCC |
  -15 | DDDDGGGGFFFFFFFFEEEECCCC |
  -14 | DDDDGGGGFFFFFFFFEEEECCCC |
  -13 | DDDDooooFFFFFFFFooooCCCC |
  -12 | DDDDooooooooooooooooCCCC |
  -11 | DDDDooooooooooooooooCCCC |
  -10 | DDDDooooooooooooooooCCCC |
   -9 | BBBBBBBBBooooooAAAAAAAAA |
   -8 | BBBBBBBBBooooooAAAAAAAAA |
   -7 | BBBBBBBBBooooooAAAAAAAAA |
   -6 | BBBBBBBBBooooooAAAAAAAAA |
   -5 | BBBBBBBBBooooooAAAAAAAAA |
   -4 | ++++++++++++++++++++++++ |
   -3 | ++++++++++++++++++++++++ |
   -2 | ++++++++++++++++++++++++ |
   -1 | ++++++++++++++++++++++++ |
    0 | ++++++++++++++++++++++++ |
    1 | ++++++++++++++++++++++++ |
    2 | ++++++++++++++++++++++++ |
    3 | ++++++++++++++++++++++++ |
    4 | AAAAAAAAAooooooBBBBBBBBB |
    5 | AAAAAAAAAooooooBBBBBBBBB |
    6 | AAAAAAAAAooooooBBBBBBBBB |
    7 | AAAAAAAAAooooooBBBBBBBBB |
    8 | AAAAAAAAAooooooBBBBBBBBB |
    9 | CCCCooooooooooooooooDDDD |
   10 | CCCCooooooooooooooooDDDD |
   11 | CCCCooooooooooooooooDDDD |
   12 | CCCCooooFFFFFFFFooooDDDD |
   13 | CCCCEEEEFFFFFFFFGGGGDDDD |
   14 | CCCCEEEEFFFFFFFFGGGGDDDD |
   15 | CCCCEEEEFFFFFFFFGGGGDDDD |
   16 | HHHH    KKKKKKKK    JJJJ |
   17 | HHHH    KKKKKKKK    JJJJ |
   18 | HHHH    KKKKKKKK    JJJJ |
   19 | HHHH    KKKKKKKK    JJJJ |
   20 | WWWW    KKKKKKKK    VVVV |
   21 | WW¤W    SSSSSLL     VV¤V |
   22 | WWWW    SSSSSLL     VVVV |
   23 |         iS@SSLL          |
   24 |         SSSSSLL          |
   25 |         SSSSSLL          |
      24 × 52 cells drawn  ·  24 × 52 cells = 96 × 208 blocks  ·  cell 4
      @ spawn   A front-w (piece)   B front-e (piece)   C hub-w (piece)   D hub-e (piece)   
      E hub-link-w (piece)   F hub-n (piece)   G hub-link-e (piece)   H w-approach (piece)   
      J e-approach (piece)   K yard (piece)   L yard-ne (piece)   S spawn (spawn)   
      V e-room (wool-room)   W w-room (wool-room)   i iron   ¤ wool   
