      |   -1         0         1   |
      | 32109876543210123456789012 |
  -17 |            SSSS            |
  -16 |            SSSS            |
  -15 |            SS@S            |
  -14 |            SSSS            |
  -13 |            SSSS            |
  -12 |            SSiS            |
  -11 |          DDDDDDDD          |
  -10 |          DDDDDDDD          |
   -9 |          DDDDDDDD          |
   -8 |          DDDDDDDD          |
   -7 |     AAAAAAAAAAAAAAAAAA     |
   -6 |     AAAAAAAAAAAAAAAAAA     |
   -5 |     AAAAAAAAAAAAAAAAAA     |
   -4 |     AAAAAAAAAAAAAAAAAA     |
   -3 | CCCCAAAAAAAAAAAAAAAAAACCCC |
   -2 | CCCCAAAAAAAAAAAAAAAAAACCCC |
   -1 | CCCCAAAAAAAAAAAAAAAAAACCCC |
    0 | CCCCAAAAAAAAAAAAAAAAAACCCC |
    1 | CCCCAAAAAAAAAAAAAAAAAACCCC |
    2 | CCCCAAAAAAAAAAAAAAAAAACCCC |
    3 |     AAAAAAAAAAAAAAAAAA     |
    4 |     AAAAAAAAAAAAAAAAAA     |
    5 |     AAAAAAAAAAAAAAAAAA     |
    6 |     AAAAAAAAAAAAAAAAAA     |
    7 |          DDDDDDDD          |
    8 |          DDDDDDDD          |
    9 |          DDDDDDDD          |
   10 |          DDDDDDDD          |
   11 |            SSiS            |
   12 |            SSSS            |
   13 |            SSSS            |
   14 |            SS@S            |
   15 |            SSSS            |
   16 |            SSSS            |
      26 × 34 cells drawn  ·  26 × 34 cells = 104 × 136 blocks  ·  cell 4
      @ spawn   A works-mid (piece)   B works-w (piece)   C works-e (piece)   D approach (piece)   
      S spawn (spawn)   i iron   
