## light_blue-1 (wool) along x
TRANSECT 21 stations from (-84, -40) to (-64, -40), every 1
  station        ground  surface  water  top  standing            step
  (  -84,   -40)      18       18           18                      
  (  -83,   -40)      18       18           25                      
  (  -82,   -40)      18       18           26  wool wool-east#1    
  (  -81,   -40)      18       18           27  wool wool-east#1    
  (  -80,   -40)      18       18           28  wool wool-east#1    
  (  -79,   -40)      18       18           29  wool wool-east#1    
  (  -78,   -40)      18       18           30  wool wool-east#1    
  (  -77,   -40)      18       18           47  wool wool-east#1    
  (  -76,   -40)      18       18           47  wool wool-east#1    
  (  -75,   -40)      18       18           47  wool wool-east#1    
  (  -74,   -40)      18       18           29  wool wool-east#1    
  (  -73,   -40)      18       18           28  wool wool-east#1    
  (  -72,   -40)      18       18           27  wool wool-east#1    
  (  -71,   -40)      18       18           26  wool wool-east#1    
  (  -70,   -40)      18       18           25                      
  (  -69,   -40)      18       18           19  redstoneline 1#1    
  (  -68,   -40)      18       18           18                      
  (  -67,   -40)      18       18           18                      
  (  -66,   -40)      18       18           18                      
  (  -65,   -40)      18       18           18                      
  (  -64,   -40)      18       18           18                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: wool wool-east#1 at (-82, -42), redstoneline 1#1 at (-69, -42)

## light_blue-1 (wool) along z
TRANSECT 25 stations from (-76, -52) to (-76, -28), every 1
  station        ground  surface  water  top  standing            step
  (  -76,   -52)                                                    void
  (  -76,   -51)                                                    void
  (  -76,   -50)                                                    void
  (  -76,   -49)                                                    void
  (  -76,   -48)      18       18           18                      
  (  -76,   -47)      18       18           25                      
  (  -76,   -46)      18       18           26  wool wool-east#1    
  (  -76,   -45)      18       18           27  wool wool-east#1    
  (  -76,   -44)      18       18           28  wool wool-east#1    
  (  -76,   -43)      18       18           29  wool wool-east#1    
  (  -76,   -42)      18       18           30  wool wool-east#1    
  (  -76,   -41)      18       18           47  wool wool-east#1    
  (  -76,   -40)      18       18           47  wool wool-east#1    
  (  -76,   -39)      18       18           47  wool wool-east#1    
  (  -76,   -38)      18       18           29  wool wool-east#1    
  (  -76,   -37)      18       18           28  wool wool-east#1    
  (  -76,   -36)      18       18           27  wool wool-east#1    
  (  -76,   -35)      18       18           26  wool wool-east#1    
  (  -76,   -34)      18       18           25                      
  (  -76,   -33)      18       18           18                      
  (  -76,   -32)                                                    void
  (  -76,   -31)                                                    void
  (  -76,   -30)                                                    void
  (  -76,   -29)                                                    void
  (  -76,   -28)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: wool wool-east#1 at (-78, -46)
