## red-0 (wool) along x
TRANSECT 21 stations from (-84, 28) to (-64, 28), every 1
  station        ground  surface  water  top  standing            step
  (  -84,    28)      15       15           15                      
  (  -83,    28)      15       15           22                      
  (  -82,    28)      15       15           23  wool wool-west      
  (  -81,    28)      15       15           24  wool wool-west      
  (  -80,    28)      15       15           25  wool wool-west      
  (  -79,    28)      15       15           26  wool wool-west      
  (  -78,    28)      15       15           27  wool wool-west      
  (  -77,    28)      15       15           47  wool wool-west      
  (  -76,    28)      15       15           47  wool wool-west      
  (  -75,    28)      15       15           47  wool wool-west      
  (  -74,    28)      15       15           26  wool wool-west      
  (  -73,    28)      15       15           25  wool wool-west      
  (  -72,    28)      15       15           24  wool wool-west      
  (  -71,    28)      15       15           23  wool wool-west      
  (  -70,    28)      15       15           22                      
  (  -69,    28)      15       15           16  redstoneline 0      
  (  -68,    28)      15       15           15                      
  (  -67,    28)      15       15           15                      
  (  -66,    28)      15       15           15                      
  (  -65,    28)      15       15           15                      
  (  -64,    28)      15       15           15                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: wool wool-west at (-82, 26), redstoneline 0 at (-69, 26)

## red-0 (wool) along z
TRANSECT 25 stations from (-76, 16) to (-76, 40), every 1
  station        ground  surface  water  top  standing            step
  (  -76,    16)                                                    void
  (  -76,    17)                                                    void
  (  -76,    18)                                                    void
  (  -76,    19)                                                    void
  (  -76,    20)      15       15           15                      
  (  -76,    21)      15       15           22                      
  (  -76,    22)      15       15           23  wool wool-west      
  (  -76,    23)      15       15           24  wool wool-west      
  (  -76,    24)      15       15           25  wool wool-west      
  (  -76,    25)      15       15           26  wool wool-west      
  (  -76,    26)      15       15           27  wool wool-west      
  (  -76,    27)      15       15           47  wool wool-west      
  (  -76,    28)      15       15           47  wool wool-west      
  (  -76,    29)      15       15           47  wool wool-west      
  (  -76,    30)      15       15           26  wool wool-west      
  (  -76,    31)      15       15           25  wool wool-west      
  (  -76,    32)      15       15           24  wool wool-west      
  (  -76,    33)      15       15           23  wool wool-west      
  (  -76,    34)      15       15           22                      
  (  -76,    35)      15       15           15                      
  (  -76,    36)                                                    void
  (  -76,    37)                                                    void
  (  -76,    38)                                                    void
  (  -76,    39)                                                    void
  (  -76,    40)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: wool wool-west at (-78, 22)
