      |         0        |
      | 8765432101234567 |
  -25 |       SSSS       |
  -24 |       SSSS       |
  -23 |       SS@S       |
  -22 |       SSSS       |
  -21 |     AAAAAAAA     |
  -20 |     AAAAAAAA     |
  -19 |     AAAAAAAA     |
  -18 |     AAAAAAAA     |
  -17 |     AAAAAAAA     |
  -16 |     AAAAAAAA     |
  -15 |     AAAAAAAA     |
  -14 |     AAAAAAAA     |
  -13 |     AAAA!AAA     |
  -12 |     AAAAAAAA     |
  -11 |     AAAAAAAA     |
  -10 |     AAAAAAAA     |
   -9 |     AAAAAAAA     |
   -8 |     AAAAAAAA     |
   -7 |     AAAAAAAA     |
   -6 |     AAAAAAAA     |
   -5 |     AAAAAAAA     |
   -4 |     AAAAAAAA     |
   -3 |     AAAAAAAA     |
   -2 | ++++++++++++++++ |
   -1 | ++++++++++++++++ |
    0 | ++++++++++++++++ |
    1 | ++++++++++++++++ |
    2 |     AAAAAAAA     |
    3 |     AAAAAAAA     |
    4 |     AAAAAAAA     |
    5 |     AAAAAAAA     |
    6 |     AAAAAAAA     |
    7 |     AAAAAAAA     |
    8 |     AAAAAAAA     |
    9 |     AAAAAAAA     |
   10 |     AAAAAAAA     |
   11 |     AAAAAAAA     |
   12 |     AAAA!AAA     |
   13 |     AAAAAAAA     |
   14 |     AAAAAAAA     |
   15 |     AAAAAAAA     |
   16 |     AAAAAAAA     |
   17 |     AAAAAAAA     |
   18 |     AAAAAAAA     |
   19 |     AAAAAAAA     |
   20 |     AAAAAAAA     |
   21 |       SSSS       |
   22 |       SSSS       |
   23 |       SS@S       |
   24 |       SSSS       |
      16 × 50 cells drawn  ·  16 × 50 cells = 80 × 250 blocks  ·  cell 5
      ! destroyable   @ spawn   A lane (piece)   S spawn (spawn)   
