## quayrock-2 (boulder) along x
TRANSECT 25 stations from (-42, 18) to (-18, 18), every 1
  station        ground  surface  water  top  standing            step
  (  -42,    18)       9        9            9                      
  (  -41,    18)       9        9            9                      
  (  -40,    18)       9        9            9                      
  (  -39,    18)       9        9            9                      
  (  -38,    18)       9        9            9                      
  (  -37,    18)       9        9            9                      
  (  -36,    18)       9        9            9                      
  (  -35,    18)       9        9            9                      
  (  -34,    18)       9        9            9                      
  (  -33,    18)       9        9            9                      
  (  -32,    18)       9        9           11  boulder quayrock-2  
  (  -31,    18)       9        9           12  boulder quayrock-2  
  (  -30,    18)       9        9           12  boulder quayrock-2  
  (  -29,    18)       9        9           12  boulder quayrock-2  
  (  -28,    18)       9        9           11  boulder quayrock-2  
  (  -27,    18)       9        9            9                      
  (  -26,    18)       9        9            9                      
  (  -25,    18)       9        9            9                      
  (  -24,    18)       9        9            9                      
  (  -23,    18)       9        9            9                      
  (  -22,    18)       9        9           10  flora yard-cover    
  (  -21,    18)       9        9           10  flora yard-cover    
  (  -20,    18)       9        9           10  flora yard-cover    
  (  -19,    18)       9        9            9                      
  (  -18,    18)       9        9            9                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder quayrock-2 at (-32, 18), flora yard-cover at (-23, 19)

## quayrock-2 (boulder) along z
TRANSECT 25 stations from (-30, 6) to (-30, 30), every 1
  station        ground  surface  water  top  standing            step
  (  -30,     6)       9        9            9                      
  (  -30,     7)       9        9            9                      
  (  -30,     8)       9        9            9                      
  (  -30,     9)       9        9            9                      
  (  -30,    10)       9        9            9                      
  (  -30,    11)       9        9            9                      
  (  -30,    12)       9        9            9                      
  (  -30,    13)       9        9            9                      
  (  -30,    14)       9        9            9                      
  (  -30,    15)       9        9            9                      
  (  -30,    16)       9        9           11  boulder quayrock-2  
  (  -30,    17)       9        9           12  boulder quayrock-2  
  (  -30,    18)       9        9           12  boulder quayrock-2  
  (  -30,    19)       9        9           12  boulder quayrock-2  
  (  -30,    20)       9        9           11  boulder quayrock-2  
  (  -30,    21)       9        9            9                      
  (  -30,    22)       9        9            9                      
  (  -30,    23)       9        9            9                      
  (  -30,    24)       9        9            9                      
  (  -30,    25)       9        9            9                      
  (  -30,    26)       9        9            9                      
  (  -30,    27)       9        9            9                      
  (  -30,    28)       9        9            9                      
  (  -30,    29)       9        9            9                      
  (  -30,    30)       9        9            9                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder quayrock-2 at (-30, 16)
