## peatrock-2 (boulder) along x
TRANSECT 25 stations from (-86, -18) to (-62, -18), every 1
  station        ground  surface  water  top  standing            step
  (  -86,   -18)                                                    void
  (  -85,   -18)                                                    void
  (  -84,   -18)       2        2            2                      
  (  -83,   -18)       2        2            2                      
  (  -82,   -18)       2        2            2                      
  (  -81,   -18)       2        2            2                      
  (  -80,   -18)       2        2            2                      
  (  -79,   -18)       2        2            2                      
  (  -78,   -18)       2        2            2                      
  (  -77,   -18)       2        2            2                      
  (  -76,   -18)       2        2            2                      
  (  -75,   -18)       2        2            5  boulder peatrock-2  
  (  -74,   -18)       2        2            5  boulder peatrock-2  
  (  -73,   -18)       2        2            5  boulder peatrock-2  
  (  -72,   -18)       2        2            3  boulder peatrock-2  
  (  -71,   -18)       2        2            2                      
  (  -70,   -18)       2        2            2                      
  (  -69,   -18)       2        2            2                      
  (  -68,   -18)       2        2            2                      
  (  -67,   -18)       2        2            2                      
  (  -66,   -18)       2        2            2                      
  (  -65,   -18)       2        2            2                      
  (  -64,   -18)       2        2            2                      
  (  -63,   -18)       2        2            2                      
  (  -62,   -18)       2        2            2                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder peatrock-2 at (-75, -19)

## peatrock-2 (boulder) along z
TRANSECT 25 stations from (-74, -30) to (-74, -6), every 1
  station        ground  surface  water  top  standing            step
  (  -74,   -30)       2        2            2                      
  (  -74,   -29)       2        2            2                      
  (  -74,   -28)       2        2            2                      
  (  -74,   -27)       2        2            2                      
  (  -74,   -26)       2        2            2                      
  (  -74,   -25)       2        2            2                      
  (  -74,   -24)       2        2            2                      
  (  -74,   -23)       2        2            2                      
  (  -74,   -22)       2        2            2                      
  (  -74,   -21)       2        2            2                      
  (  -74,   -20)       2        2            2                      
  (  -74,   -19)       2        2            5  boulder peatrock-2  
  (  -74,   -18)       2        2            5  boulder peatrock-2  
  (  -74,   -17)       2        2            5  boulder peatrock-2  
  (  -74,   -16)       2        2            2                      
  (  -74,   -15)       2        2            2                      
  (  -74,   -14)       2        2            2                      
  (  -74,   -13)       2        2            2                      
  (  -74,   -12)       2        2            2                      
  (  -74,   -11)       2        2            2                      
  (  -74,   -10)       2        2            2                      
  (  -74,    -9)       2        2            2                      
  (  -74,    -8)       2        2            2                      
  (  -74,    -7)       2        2            2                      
  (  -74,    -6)       2        2            2                      
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: boulder peatrock-2 at (-75, -19), flora moor-cover at (-76, -8)
