## spawn-blue (spawn) along x
TRANSECT 32 stations from (-13, -90) to (18, -90), every 1
  station        ground  surface  water  top  standing            step
  (  -13,   -90)                                                    void
  (  -12,   -90)                                                    void
  (  -11,   -90)                                                    void
  (  -10,   -90)                                                    void
  (   -9,   -90)                                                    void
  (   -8,   -90)                                                    void
  (   -7,   -90)                                                    void
  (   -6,   -90)                                                    void
  (   -5,   -90)      13       13           13                      
  (   -4,   -90)      13       13           13                      
  (   -3,   -90)      13       13           20  spawn spawn-1#1     
  (   -2,   -90)      13       13           19  spawn spawn-1#1     
  (   -1,   -90)      13       13           19  spawn spawn-1#1     
  (    0,   -90)      13       13           19  spawn spawn-1#1     
  (    1,   -90)      13       13           19  spawn spawn-1#1     
  (    2,   -90)      13       13           19  spawn spawn-1#1     
  (    3,   -90)      13       13           19  spawn spawn-1#1     
  (    4,   -90)      13       13           19  spawn spawn-1#1     
  (    5,   -90)      13       13           19  spawn spawn-1#1     
  (    6,   -90)      13       13           19  spawn spawn-1#1     
  (    7,   -90)      13       13           20  spawn spawn-1#1     
  (    8,   -90)      13       13           13                      
  (    9,   -90)      13       13           13                      
  (   10,   -90)                                                    void
  (   11,   -90)                                                    void
  (   12,   -90)                                                    void
  (   13,   -90)                                                    void
  (   14,   -90)                                                    void
  (   15,   -90)                                                    void
  (   16,   -90)                                                    void
  (   17,   -90)                                                    void
  (   18,   -90)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-3, -92)

## spawn-blue (spawn) along z
TRANSECT 29 stations from (2, -100) to (2, -72), every 1
  station        ground  surface  water  top  standing            step
  (    2,  -100)      13       13           13                      
  (    2,   -99)      13       13           13                      
  (    2,   -98)      13       13           20  spawn spawn-1#1     
  (    2,   -97)      13       13           19  spawn spawn-1#1     
  (    2,   -96)      13       13           19  spawn spawn-1#1     
  (    2,   -95)      13       13           19  spawn spawn-1#1     
  (    2,   -94)      13       13           19  spawn spawn-1#1     
  (    2,   -93)      13       13           19  spawn spawn-1#1     
  (    2,   -92)      13       13           19  spawn spawn-1#1     
  (    2,   -91)      13       13           19  spawn spawn-1#1     
  (    2,   -90)      13       13           19  spawn spawn-1#1     
  (    2,   -89)      13       13           19  spawn spawn-1#1     
  (    2,   -88)      13       13           20  spawn spawn-1#1     
  (    2,   -87)      13       13           13                      
  (    2,   -86)      13       13           13  stroke p1#1         
  (    2,   -85)      13       13           13  stroke p1#1         
  (    2,   -84)      13       13           13  stroke p1#1         
  (    2,   -83)      13       13           13  stroke p1#1         
  (    2,   -82)      13       13           13  stroke p1#1         
  (    2,   -81)      13       13           13  stroke p1#1         
  (    2,   -80)      12       12           12  stroke p1#1         -1
  (    2,   -79)      12       12           12  stroke p1#1         
  (    2,   -78)      12       12           12  stroke p1#1         
  (    2,   -77)      12       12           12  stroke p1#1         
  (    2,   -76)      11       11           11  stroke p1#1         -1
  (    2,   -75)      11       11           11  stroke p1#1         
  (    2,   -74)      11       11           11  stroke p1#1         
  (    2,   -73)      11       11           11  stroke p1#1         
  (    2,   -72)      11       11           11  stroke p1#1         
rises 0, falls 2, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (0, -98), stroke p1#1 at (2, -86), ironcube spawn-1:0#1 at (0, -85)
