## steps (made) along x
TRANSECT 79 stations from (-38, 50) to (40, 50), every 1
  station        ground  surface  water  top  standing            step
  (  -38,    50)                                                    void
  (  -37,    50)                                                    void
  (  -36,    50)                                                    void
  (  -35,    50)      10       10           10                      
  (  -34,    50)      10       10           10                      
  (  -33,    50)      10       10           10                      
  (  -32,    50)      10       10           10                      
  (  -31,    50)      10       10           10                      
  (  -30,    50)       9       10           10  storey              
  (  -29,    50)       9       10           10  storey              
  (  -28,    50)       9       10           10  storey              
  (  -27,    50)       9       10           10  storey              
  (  -26,    50)       9       10           10  storey              
  (  -25,    50)       9       10           10  storey              
  (  -24,    50)       9       10           10  storey              
  (  -23,    50)       9       10           10  storey              
  (  -22,    50)       9       10           10  storey              
  (  -21,    50)       9       10           10  storey              
  (  -20,    50)       9        9            9                      -1
  (  -19,    50)      10       10           10                      +1
  (  -18,    50)      10       10           10                      
  (  -17,    50)      10       10           10                      
  (  -16,    50)      10       10           10                      
  (  -15,    50)      10       10           10                      
  (  -14,    50)      10       10           10                      
  (  -13,    50)       9        9           12  boulder r3          -1
  (  -12,    50)       9        9           12  boulder r3          
  (  -11,    50)      10       10           13  boulder r3          +1
  (  -10,    50)      10       10           12  boulder r3          
  (   -9,    50)       9        9            9                      -1
  (   -8,    50)       9       10           10  storey              +1
  (   -7,    50)       9       10           10  storey              
  (   -6,    50)       9       10           10  storey              
  (   -5,    50)       9       10           10  storey              
  (   -4,    50)       9       10           10  storey              
  (   -3,    50)       9       10           10  storey              
  (   -2,    50)       9       10           10  storey              
  (   -1,    50)       9       10           10  storey              
  (    0,    50)       9       10           10  storey              
  (    1,    50)       9       10           10  storey              
  (    2,    50)       9        9            9                      -1
  (    3,    50)       9        9            9                      
  (    4,    50)       9        9            9                      
  (    5,    50)      10       10           10                      +1
  (    6,    50)      10       10           10                      
  (    7,    50)      10       10           10                      
  (    8,    50)      10       10           10                      
  (    9,    50)      10       10           10                      
  (   10,    50)       9        9            9                      -1
  (   11,    50)       9        9            9                      
  (   12,    50)       9        9            9                      
  (   13,    50)      10       10           10                      +1
  (   14,    50)      10       10           10                      
  (   15,    50)      14       14           14                      BARRIER +4
  (   16,    50)      14       14           14                      
  (   17,    50)      14       14           14                      
  (   18,    50)      14       14           14                      
  (   19,    50)      14       14           14                      
  (   20,    50)      14       14           14                      
  (   21,    50)      14       14           14                      
  (   22,    50)      14       14           14                      
  (   23,    50)      14       14           14                      
  (   24,    50)      14       14           14                      
  (   25,    50)      14       14           14                      
  (   26,    50)      14       14           14                      
  (   27,    50)      14       14           14                      
  (   28,    50)      14       14           14                      
  (   29,    50)      14       14           14                      
  (   30,    50)      14       14           14                      
  (   31,    50)      14       14           14                      
  (   32,    50)      14       14           14                      
  (   33,    50)      14       14           14                      
  (   34,    50)      14       14           14                      
  (   35,    50)      14       14           14                      
  (   36,    50)      14       14           14                      
  (   37,    50)      14       14           14                      
  (   38,    50)      14       14           14                      
  (   39,    50)      14       14           14                      
  (   40,    50)                                                    void
rises 6, falls 5, worst step 4: 1 barrier, 0 scramble, 0 drop — BARRIER +4 at (15, 50) | walked end to end
beside: boulder r1 at (-17, 52), boulder r3 at (-15, 48), stroke p5 at (25, 52)

## steps (made) along z
TRANSECT 37 stations from (1, 32) to (1, 68), every 1
  station        ground  surface  water  top  standing            step
  (    1,    32)      10       10           10                      
  (    1,    33)      10       10           10                      
  (    1,    34)      10       10           10                      
  (    1,    35)      10       10           10                      
  (    1,    36)      10       10           10                      
  (    1,    37)      10       10           10                      
  (    1,    38)      10       10           10                      
  (    1,    39)      10       10           10                      
  (    1,    40)      10       10           10                      
  (    1,    41)      10       10           10                      
  (    1,    42)      10       10           10                      
  (    1,    43)       9        9            9                      -1
  (    1,    44)       9        9            9                      
  (    1,    45)       9        9            9                      
  (    1,    46)       9        9            9                      
  (    1,    47)       9        9            9                      
  (    1,    48)       9        9            9                      
  (    1,    49)       9        9            9                      
  (    1,    50)       9       10           10  storey              +1
  (    1,    51)       9       10           10  storey              
  (    1,    52)       9       11           11  storey              +1
  (    1,    53)       9       11           11  storey              
  (    1,    54)       9       12           12  storey              +1
  (    1,    55)       9       12           12  storey              
  (    1,    56)       9       13           13  storey              +1
  (    1,    57)       9       13           13  storey              
  (    1,    58)       9       14           14  storey              +1
  (    1,    59)       9       14           14  storey              
  (    1,    60)      14       14           14                      
  (    1,    61)      14       14           14                      
  (    1,    62)      14       14           14                      
  (    1,    63)      14       14           14                      
  (    1,    64)      14       14           14                      
  (    1,    65)      14       14           14                      
  (    1,    66)      14       14           14                      
  (    1,    67)      14       14           14                      
  (    1,    68)      14       14           14                      
rises 5, falls 1, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: water w1 at (-1, 30), stroke p4 at (-1, 70)
