The three hollows, one transect each, along z 0 — clear of both the spawn pad (z -13..-5)
and the house (z 2..10). Each plot is 56x56 at base_height 32; each hollow is asked for a
36x36 floor twelve blocks down.

### push: x -62 to -2, z 0
TRANSECT 61 stations from (-62, 0) to (-2, 0), every 1
  station        ground  surface  water  top  standing            step
  (  -62,     0)                                                    void
  (  -61,     0)                                                    void
  (  -60,     0)      32       32           32                      
  (  -59,     0)      32       32           32                      
  (  -58,     0)      32       32           32                      
  (  -57,     0)      32       32           32                      
  (  -56,     0)      32       32           32                      
  (  -55,     0)      31       31           31                      -1
  (  -54,     0)      29       29           29                      -2
  (  -53,     0)      26       26           26                      -3
  (  -52,     0)      23       23           23                      -3
  (  -51,     0)      21       21           21                      -2
  (  -50,     0)      20       20           20                      -1
  (  -49,     0)      20       20           20                      
  (  -48,     0)      20       20           20                      
  (  -47,     0)      20       20           20                      
  (  -46,     0)      20       20           20                      
  (  -45,     0)      20       20           20                      
  (  -44,     0)      20       20           20                      
  (  -43,     0)      20       20           20                      
  (  -42,     0)      20       20           20                      
  (  -41,     0)      20       20           20                      
  (  -40,     0)      20       20           20                      
  (  -39,     0)      20       20           20                      
  (  -38,     0)      20       20           20                      
  (  -37,     0)      20       20           20                      
  (  -36,     0)      20       20           20                      
  (  -35,     0)      20       20           20                      
  (  -34,     0)      20       20           20                      
  (  -33,     0)      20       20           20                      
  (  -32,     0)      20       20           20                      
  (  -31,     0)      20       20           20                      
  (  -30,     0)      20       20           20                      
  (  -29,     0)      20       20           20                      
  (  -28,     0)      20       20           20                      
  (  -27,     0)      20       20           20                      
  (  -26,     0)      20       20           20                      
  (  -25,     0)      20       20           20                      
  (  -24,     0)      20       20           20                      
  (  -23,     0)      20       20           20                      
  (  -22,     0)      20       20           20                      
  (  -21,     0)      20       20           20                      
  (  -20,     0)      20       20           20                      
  (  -19,     0)      20       20           20                      
  (  -18,     0)      20       20           20                      
  (  -17,     0)      20       20           20                      
  (  -16,     0)      20       20           20                      
  (  -15,     0)      20       20           20                      
  (  -14,     0)      21       21           21                      +1
  (  -13,     0)      23       23           23                      scramble +2
  (  -12,     0)      26       26           26                      BARRIER +3
  (  -11,     0)      29       29           29                      BARRIER +3
  (  -10,     0)      31       31           31                      scramble +2
  (   -9,     0)      32       32           32                      +1
  (   -8,     0)      32       32           32                      
  (   -7,     0)      32       32           32                      
  (   -6,     0)      32       32           32                      
  (   -5,     0)      32       32           32                      
  (   -4,     0)                                                    void
  (   -3,     0)                                                    void
  (   -2,     0)                                                    void
rises 6, falls 6, worst step 3: 2 barrier, 2 scramble, 0 drop — scramble +2 at (-13, 0); BARRIER +3 at (-12, 0); BARRIER +3 at (-11, 0); scramble +2 at (-10, 0) | walked end to end


### sink: x 2 to 62, z 0
TRANSECT 61 stations from (2, 0) to (62, 0), every 1
  station        ground  surface  water  top  standing            step
  (    2,     0)                                                    void
  (    3,     0)                                                    void
  (    4,     0)      32       32           32                      
  (    5,     0)      32       32           32                      
  (    6,     0)      32       32           32                      
  (    7,     0)      32       32           32                      
  (    8,     0)      32       32           32                      
  (    9,     0)      32       32           32                      
  (   10,     0)      32       32           32                      
  (   11,     0)      32       32           32                      
  (   12,     0)      32       32           32                      
  (   13,     0)      32       32           32                      
  (   14,     0)      20       20           20                      DROP -12
  (   15,     0)      20       20           20                      
  (   16,     0)      20       20           20                      
  (   17,     0)      20       20           20                      
  (   18,     0)      20       20           20                      
  (   19,     0)      20       20           20                      
  (   20,     0)      20       20           20                      
  (   21,     0)      20       20           20                      
  (   22,     0)      20       20           20                      
  (   23,     0)      20       20           20                      
  (   24,     0)      20       20           20                      
  (   25,     0)      20       20           20                      
  (   26,     0)      20       20           20                      
  (   27,     0)      20       20           20                      
  (   28,     0)      20       20           20                      
  (   29,     0)      20       20           20                      
  (   30,     0)      20       20           20                      
  (   31,     0)      20       20           20                      
  (   32,     0)      20       20           20                      
  (   33,     0)      20       20           20                      
  (   34,     0)      20       20           20                      
  (   35,     0)      20       20           20                      
  (   36,     0)      20       20           20                      
  (   37,     0)      20       20           20                      
  (   38,     0)      20       20           20                      
  (   39,     0)      20       20           20                      
  (   40,     0)      20       20           20                      
  (   41,     0)      20       20           20                      
  (   42,     0)      20       20           20                      
  (   43,     0)      20       20           20                      
  (   44,     0)      20       20           20                      
  (   45,     0)      20       20           20                      
  (   46,     0)      20       20           20                      
  (   47,     0)      20       20           20                      
  (   48,     0)      20       20           20                      
  (   49,     0)      20       20           20                      
  (   50,     0)      32       32           32                      BARRIER +12
  (   51,     0)      32       32           32                      
  (   52,     0)      32       32           32                      
  (   53,     0)      32       32           32                      
  (   54,     0)      32       32           32                      
  (   55,     0)      32       32           32                      
  (   56,     0)      32       32           32                      
  (   57,     0)      32       32           32                      
  (   58,     0)      32       32           32                      
  (   59,     0)      32       32           32                      
  (   60,     0)                                                    void
  (   61,     0)                                                    void
  (   62,     0)                                                    void
rises 1, falls 1, worst step 12: 1 barrier, 0 scramble, 1 drop — DROP -12 at (14, 0); BARRIER +12 at (50, 0) | walked end to end


### mark: x 66 to 126, z 0
TRANSECT 61 stations from (66, 0) to (126, 0), every 1
  station        ground  surface  water  top  standing            step
  (   66,     0)                                                    void
  (   67,     0)                                                    void
  (   68,     0)      32       32           32                      
  (   69,     0)      32       32           32                      
  (   70,     0)      32       32           32                      
  (   71,     0)      32       32           32                      
  (   72,     0)      32       32           32                      
  (   73,     0)      32       32           32                      
  (   74,     0)      32       32           32                      
  (   75,     0)      32       32           32                      
  (   76,     0)      32       32           32                      
  (   77,     0)      32       32           32                      
  (   78,     0)      30       30           30                      -2
  (   79,     0)      28       28           28                      -2
  (   80,     0)      24       24           24                      DROP -4
  (   81,     0)      22       22           22                      -2
  (   82,     0)      20       20           20                      -2
  (   83,     0)      20       20           20                      
  (   84,     0)      20       20           20                      
  (   85,     0)      20       20           20                      
  (   86,     0)      20       20           20                      
  (   87,     0)      20       20           20                      
  (   88,     0)      20       20           20                      
  (   89,     0)      20       20           20                      
  (   90,     0)      20       20           20                      
  (   91,     0)      20       20           20                      
  (   92,     0)      20       20           20                      
  (   93,     0)      20       20           20                      
  (   94,     0)      20       20           20                      
  (   95,     0)      20       20           20                      
  (   96,     0)      20       20           20                      
  (   97,     0)      20       20           20                      
  (   98,     0)      20       20           20                      
  (   99,     0)      20       20           20                      
  (  100,     0)      20       20           20                      
  (  101,     0)      20       20           20                      
  (  102,     0)      20       20           20                      
  (  103,     0)      20       20           20                      
  (  104,     0)      20       20           20                      
  (  105,     0)      20       20           20                      
  (  106,     0)      20       20           20                      
  (  107,     0)      20       20           20                      
  (  108,     0)      20       20           20                      
  (  109,     0)      20       20           20                      
  (  110,     0)      22       22           22                      scramble +2
  (  111,     0)      24       24           24                      scramble +2
  (  112,     0)      28       28           28                      BARRIER +4
  (  113,     0)      30       30           30                      scramble +2
  (  114,     0)      32       32           32                      scramble +2
  (  115,     0)      32       32           32                      
  (  116,     0)      32       32           32                      
  (  117,     0)      32       32           32                      
  (  118,     0)      32       32           32                      
  (  119,     0)      32       32           32                      
  (  120,     0)      32       32           32                      
  (  121,     0)      32       32           32                      
  (  122,     0)      32       32           32                      
  (  123,     0)      32       32           32                      
  (  124,     0)                                                    void
  (  125,     0)                                                    void
  (  126,     0)                                                    void
rises 5, falls 5, worst step 4: 1 barrier, 4 scramble, 1 drop — DROP -4 at (80, 0); scramble +2 at (110, 0); scramble +2 at (111, 0); BARRIER +4 at (112, 0); scramble +2 at (113, 0); scramble +2 at (114, 0) | walked end to end

