GET /api/map/technique-made-ground/transect?points=x,z;x,z — one line north to south through the
middle of each panel, crossing the piece. Every panel is a 96x76 island whose relief falls 26 at the
north edge to 10 at the south; the piece is 34x26 and states base_height 24.

### inherit: no word on the piece at all
TRANSECT 73 stations from (-165, -81) to (-165, -9), every 1
  station        ground  surface  water  top  standing            step
  ( -165,   -81)      26       26           26                      
  ( -165,   -80)      26       26           26                      
  ( -165,   -79)      26       26           26                      
  ( -165,   -78)      26       26           26                      
  ( -165,   -77)      26       26           26                      
  ( -165,   -76)      26       26           26                      
  ( -165,   -75)      26       26           26                      
  ( -165,   -74)      25       25           25                      -1
  ( -165,   -73)      25       25           25                      
  ( -165,   -72)      25       25           25                      
  ( -165,   -71)      25       25           25                      
  ( -165,   -70)      24       24           24                      -1
  ( -165,   -69)      24       24           24                      
  ( -165,   -68)      24       24           24                      
  ( -165,   -67)      24       24           24                      
  ( -165,   -66)      23       23           23                      -1
  ( -165,   -65)      23       23           23                      
  ( -165,   -64)      23       23           23                      
  ( -165,   -63)      23       23           23                      
  ( -165,   -62)      22       22           22                      -1
  ( -165,   -61)      22       22           22                      
  ( -165,   -60)      22       22           22                      
  ( -165,   -59)      22       22           22                      
  ( -165,   -58)      21       21           21                      -1
  ( -165,   -57)      21       21           21                      
  ( -165,   -56)      21       21           21                      
  ( -165,   -55)      20       20           20                      -1
  ( -165,   -54)      20       20           20                      
  ( -165,   -53)      20       20           20                      
  ( -165,   -52)      20       20           20                      
  ( -165,   -51)      19       19           19                      -1
  ( -165,   -50)      19       19           19                      
  ( -165,   -49)      19       19           19                      
  ( -165,   -48)      19       19           19                      
  ( -165,   -47)      18       18           18                      -1
  ( -165,   -46)      18       18           18                      
  ( -165,   -45)      18       18           18                      
  ( -165,   -44)      18       18           18                      
  ( -165,   -43)      17       17           17                      -1
  ( -165,   -42)      17       17           17                      
  ( -165,   -41)      17       17           17                      
  ( -165,   -40)      17       17           17                      
  ( -165,   -39)      16       16           16                      -1
