GET /api/map/technique-pushes/transect?points=x,z;x,z — one line through each panel, plus the one
across the ridge. Every panel is a 96x76 island whose unmarked field settles at 8.

### plateau: the mesa, west to east
TRANSECT 93 stations from (-211, -45) to (-119, -45), every 1
  station        ground  surface  water  top  standing            step
  ( -211,   -45)       8        8            8                      
  ( -210,   -45)       8        8            8                      
  ( -209,   -45)       8        8            8                      
  ( -208,   -45)       8        8            8                      
  ( -207,   -45)       8        8            8                      
  ( -206,   -45)       8        8            8                      
  ( -205,   -45)       8        8            8                      
  ( -204,   -45)       8        8            8                      
  ( -203,   -45)       8        8            8                      
  ( -202,   -45)       8        8            8                      
  ( -201,   -45)       8        8            8                      
  ( -200,   -45)       8        8            8                      
  ( -199,   -45)       8        8            8                      
  ( -198,   -45)       8        8            8                      
  ( -197,   -45)       8        8            8                      
  ( -196,   -45)       8        8            8                      
  ( -195,   -45)       8        8            8                      
  ( -194,   -45)       8        8            8                      
  ( -193,   -45)       9        9            9                      +1
  ( -192,   -45)      11       11           11                      scramble +2
  ( -191,   -45)      13       13           13                      scramble +2
  ( -190,   -45)      14       14           14                      +1
  ( -189,   -45)      17       17           17                      BARRIER +3
  ( -188,   -45)      19       19           19                      scramble +2
  ( -187,   -45)      21       21           21                      scramble +2
  ( -186,   -45)      24       24           24                      BARRIER +3
  ( -185,   -45)      26       26           26                      scramble +2
  ( -184,   -45)      27       27           27                      +1
  ( -183,   -45)      29       29           29                      scramble +2
  ( -182,   -45)      30       30           30                      +1
  ( -181,   -45)      30       30           30                      
  ( -180,   -45)      30       30           30                      
  ( -179,   -45)      30       30           30                      
  ( -178,   -45)      30       30           30                      
  ( -177,   -45)      30       30           30                      
  ( -176,   -45)      30       30           30                      
  ( -175,   -45)      30       30           30                      
  ( -174,   -45)      30       30           30                      
  ( -173,   -45)      30       30           30                      
  ( -172,   -45)      30       30           30                      
  ( -171,   -45)      30       30           30                      
  ( -170,   -45)      30       30           30                      
  ( -169,   -45)      30       30           30                      
  ( -168,   -45)      30       30           30                      
  ( -167,   -45)      30       30           30                      
  ( -166,   -45)      30       30           30                      
  ( -165,   -45)      30       30           30                      
  ( -164,   -45)      30       30           30                      
  ( -163,   -45)      30       30           30                      
  ( -162,   -45)      30       30           30                      
  ( -161,   -45)      30       30           30                      
  ( -160,   -45)      30       30           30                      
