== stepped: upland down to lowland, along x -16
TRANSECT 47 stations from (-16, -31) to (-16, 15), every 1
  station        ground  surface  water  top  standing            step
  (  -16,   -31)      13       13           13                      
  (  -16,   -30)      13       13           13                      
  (  -16,   -29)      13       13           13                      
  (  -16,   -28)      13       13           13                      
  (  -16,   -27)      13       13           13                      
  (  -16,   -26)      13       13           13                      
  (  -16,   -25)      13       13           13                      
  (  -16,   -24)      13       13           13                      
  (  -16,   -23)      13       13           13                      
  (  -16,   -22)      13       13           13                      
  (  -16,   -21)      13       13           13                      
  (  -16,   -20)      13       13           13                      
  (  -16,   -19)      13       13           13                      
  (  -16,   -18)      13       13           13                      
  (  -16,   -17)      13       13           13                      
  (  -16,   -16)      13       13           13                      
  (  -16,   -15)      13       13           13                      
  (  -16,   -14)      13       13           13                      
  (  -16,   -13)      13       13           13                      
  (  -16,   -12)      13       13           13                      
  (  -16,   -11)      13       13           13                      
  (  -16,   -10)      13       13           13                      
  (  -16,    -9)      13       13           13                      
  (  -16,    -8)      12       12           12                      -1
  (  -16,    -7)      12       12           12                      
  (  -16,    -6)      12       12           12                      
  (  -16,    -5)      12       12           12                      
  (  -16,    -4)      11       11           11                      -1
  (  -16,    -3)      11       11           11                      
  (  -16,    -2)      11       11           11                      
  (  -16,    -1)      11       11           11                      
  (  -16,     0)      11       11           11                      
  (  -16,     1)      10       10           10                      -1
  (  -16,     2)      10       10           10                      
  (  -16,     3)      10       10           10                      
  (  -16,     4)      10       10           10                      
  (  -16,     5)      10       10           10                      
  (  -16,     6)       9        9            9                      -1
  (  -16,     7)       9        9            9                      
  (  -16,     8)       9        9            9                      
  (  -16,     9)       9        9            9                      
  (  -16,    10)       9        9            9                      
  (  -16,    11)       9        9            9                      
  (  -16,    12)       9        9            9                      
  (  -16,    13)       9        9            9                      
  (  -16,    14)       9        9            9                      
  (  -16,    15)       9        9            9                      
rises 0, falls 4, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end

== level: upland down to lowland, along x 48
TRANSECT 47 stations from (48, -31) to (48, 15), every 1
  station        ground  surface  water  top  standing            step
  (   48,   -31)      13       13           13                      
  (   48,   -30)      13       13           13                      
  (   48,   -29)      13       13           13                      
  (   48,   -28)      13       13           13                      
  (   48,   -27)      13       13           13                      
  (   48,   -26)      13       13           13                      
  (   48,   -25)      13       13           13                      
  (   48,   -24)      13       13           13                      
  (   48,   -23)      13       13           13                      
  (   48,   -22)      13       13           13                      
  (   48,   -21)      13       13           13                      
  (   48,   -20)      13       13           13                      
  (   48,   -19)      13       13           13                      
  (   48,   -18)      13       13           13                      
  (   48,   -17)      13       13           13                      
  (   48,   -16)      13       13           13                      
  (   48,   -15)      13       13           13                      
  (   48,   -14)      13       13           13                      
  (   48,   -13)      13       13           13                      
  (   48,   -12)      13       13           13                      
  (   48,   -11)      13       13           13                      
  (   48,   -10)      13       13           13                      
