GET /api/map/technique-stacking-layers/transect?points=x,z;x,z — south to north through each gallery.
`ground` is the standable height, one over the top block.

### open — over the gallery and out the far side
TRANSECT 43 stations from (-88, -8) to (-88, -50), every 1
  station        ground  surface  water  top  standing            step
  (  -88,    -8)      14       14           14                      
  (  -88,    -9)      14       14           14                      
  (  -88,   -10)      14       14           14                      
  (  -88,   -11)      14       14           14                      
  (  -88,   -12)      14       14           14                      
  (  -88,   -13)      14       14           14                      
  (  -88,   -14)      14       14           14                      
  (  -88,   -15)      14       14           14                      
  (  -88,   -16)      14       14           14                      
  (  -88,   -17)      14       14           14                      
  (  -88,   -18)      14       14           14                      
  (  -88,   -19)      14       14           14                      
  (  -88,   -20)      14       14           14                      
  (  -88,   -21)      14       14           14                      
  (  -88,   -22)      14       14           14                      
  (  -88,   -23)      14       14           14                      
  (  -88,   -24)      14       14           14                      
  (  -88,   -25)      14       14           14                      
  (  -88,   -26)      14       14           14                      
  (  -88,   -27)      14       14           14                      
  (  -88,   -28)      14       14           14                      
  (  -88,   -29)      14       14           14                      
  (  -88,   -30)      20       20           20                      BARRIER +6
  (  -88,   -31)      20       20           20                      
  (  -88,   -32)      20       20           20                      
  (  -88,   -33)      20       20           20                      
  (  -88,   -34)      20       20           20                      
  (  -88,   -35)      20       20           20                      
  (  -88,   -36)      20       20           20                      
  (  -88,   -37)      20       20           20                      
  (  -88,   -38)      20       20           20                      
  (  -88,   -39)      20       20           20                      
  (  -88,   -40)      20       20           20                      
  (  -88,   -41)      14       14           14                      DROP -6
  (  -88,   -42)      14       14           14                      
  (  -88,   -43)      14       14           14                      
  (  -88,   -44)      14       14           14                      
  (  -88,   -45)      14       14           14                      
  (  -88,   -46)      14       14           14                      
  (  -88,   -47)      14       14           14                      
  (  -88,   -48)      14       14           14                      
  (  -88,   -49)      14       14           14                      
  (  -88,   -50)      14       14           14                      
rises 1, falls 1, worst step 6: 1 barrier, 0 scramble, 1 drop — BARRIER +6 at (-88, -30); DROP -6 at (-88, -41) | walked end to end

### low
TRANSECT 43 stations from (-10, -8) to (-10, -50), every 1
  station        ground  surface  water  top  standing            step
  (  -10,    -8)      14       14           14                      
  (  -10,    -9)      14       14           14                      
  (  -10,   -10)      14       14           14                      
  (  -10,   -11)      14       14           14                      
  (  -10,   -12)      14       14           14                      
  (  -10,   -13)      14       14           14                      
  (  -10,   -14)      14       14           14                      
  (  -10,   -15)      14       14           14                      
  (  -10,   -16)      14       14           14                      
  (  -10,   -17)      14       14           14                      
  (  -10,   -18)      14       14           14                      
  (  -10,   -19)      14       14           14                      
  (  -10,   -20)      14       14           14                      
  (  -10,   -21)      14       14           14                      
  (  -10,   -22)      14       14           14                      
  (  -10,   -23)      14       14           14                      
  (  -10,   -24)      14       14           14                      
  (  -10,   -25)      14       14           14                      
  (  -10,   -26)      14       14           14                      
  (  -10,   -27)      14       14           14                      
  (  -10,   -28)      14       14           14                      
  (  -10,   -29)      14       14           14                      
  (  -10,   -30)      16       16           16                      scramble +2
  (  -10,   -31)      16       16           16                      
  (  -10,   -32)      16       16           16                      
