$ walk?from=12,1,4&to=12,38&aim=reach
ROUTE (12, 1) -> (12, 38) aim reach: 37 blocks, 0 placed, 0 drop(s), worst drop 0
  place            y   step
  (12, 1)            4
  (12, 2)            4
  (12, 3)            4
  (12, 4)            4
  (12, 5)            4
  (12, 6)            4
  (12, 7)            4
  (12, 8)            4
  (12, 9)            4
  (12, 10)           4
  (12, 11)           4
  (12, 12)           4
  (12, 13)           4
  (12, 14)           4
  (12, 15)           4
  (12, 16)           4
  (12, 17)           4
  (12, 18)           4
  (12, 19)           4
  (12, 20)           4
  (12, 21)           4
  (12, 22)           4
  (12, 23)           4
  (12, 24)           4
  (12, 25)           4
  (12, 26)           4
  (12, 27)           4
  (12, 28)           4
  (12, 29)           4
  (12, 30)           4
  (12, 31)           4
  (12, 32)           4
  (12, 33)           4
  (12, 34)           4
  (12, 35)           4
  (12, 36)           4
  (12, 37)           4
  (12, 38)           4
rises 0, falls 0, worst step 0: walked end to end

$ walk?from=46,1,4&to=56,23&aim=reach
ROUTE (46, 1) -> (56, 23) aim reach: 29 blocks, 0 placed, 0 drop(s), worst drop 0
  place            y   step
  (46, 1)            4
  (46, 2)            4
  (46, 3)            4
  (46, 4)            4
  (46, 5)            4
  (46, 6)            4
  (46, 7)            4
  (46, 8)            4
  (46, 9)            4
  (46, 10)           4
  (46, 11)           4
  (46, 12)           4
  (46, 13)           4
  (46, 14)           4
  (46, 15)           4
  (46, 16)           4
  (46, 17)           4
  (46, 18)           4
  (47, 19)           4
  (48, 20)           4
  (49, 21)           4
  (50, 21)           4
  (51, 21)           4
  (52, 21)           4
  (53, 21)           4
  (54, 21)           4
  (55, 22)           4
  (56, 23)           4
rises 0, falls 0, worst step 0: walked end to end

$ walk?from=80,1,4&to=80,38&aim=reach
ROUTE (80, 1) -> (80, 38) aim reach: 37 blocks, 0 placed, 0 drop(s), worst drop 0
  place            y   step
  (80, 1)            4
  (80, 2)            4
  (80, 3)            4
  (80, 4)            4
  (80, 5)            4
  (80, 6)            4
  (80, 7)            4
  (80, 8)            4
  (80, 9)            4
  (80, 10)           4
  (80, 11)           4
  (80, 12)           4
  (80, 13)           4
  (80, 14)           4
  (80, 15)           4
  (80, 16)           4
  (80, 17)           4
  (80, 18)           4
  (80, 19)           4
  (80, 20)           4
  (80, 21)           4
  (80, 22)           5
  (80, 23)           6
  (80, 24)           7
  (80, 25)           8
  (80, 26)           8
  (80, 27)           8
  (80, 28)           8
  (80, 29)           8
  (80, 30)           8
  (80, 31)           8
  (80, 32)           8
  (80, 33)           8
  (80, 34)           8
  (80, 35)           8
  (80, 36)           8
  (80, 37)           8
  (80, 38)           8
rises 0, falls 0, worst step 0: walked end to end

$ walk?from=12,51,4&to=12,88&aim=reach
ROUTE (12, 51) -> (12, 88) aim reach: 37 blocks, 0 placed, 0 drop(s), worst drop 0
  place            y   step
  (12, 51)           4
  (12, 52)           4
  (12, 53)           4
  (12, 54)           4
  (12, 55)           4
  (12, 56)           4
  (12, 57)           4
  (12, 58)           4
  (12, 59)           4
  (12, 60)           4
  (12, 61)           4
  (12, 62)           4
  (12, 63)           4
  (12, 64)           4
  (12, 65)           4
  (12, 66)           4
  (12, 67)           4
  (12, 68)           4
  (12, 69)           4
  (12, 70)           4
  (12, 71)           4
  (12, 72)           4
  (12, 73)           4
  (12, 74)           4
  (12, 75)           4
  (12, 76)           4
  (12, 77)           4
  (12, 78)           4
  (12, 79)           4
  (12, 80)           4
  (12, 81)           4
  (12, 82)           4
  (12, 83)           4
  (12, 84)           4
  (12, 85)           4
  (12, 86)           4
  (12, 87)           4
  (12, 88)           4
rises 0, falls 0, worst step 0: walked end to end

$ walk?from=1,70,4&to=22,70&aim=reach
ROUTE (1, 70) -> (22, 70) aim reach: 21 blocks, 0 placed, 0 drop(s), worst drop 0
  place            y   step
  (1, 70)            4
  (2, 70)            4
  (3, 70)            4
  (4, 70)            4
  (5, 70)            4
  (6, 70)            4
  (7, 70)            4
  (8, 70)            4
  (9, 70)            4
  (10, 70)           4
  (11, 70)           4
  (12, 70)           4
  (13, 70)           4
  (14, 70)           4
  (15, 70)           4
  (16, 70)           4
  (17, 70)           4
  (18, 70)           4
  (19, 70)           4
  (20, 70)           4
  (21, 70)           4
  (22, 70)           4
rises 0, falls 0, worst step 0: walked end to end

$ walk?from=36,68,4&to=56,68&aim=reach
ROUTE (36, 68) -> (56, 68) aim reach: 20 blocks, 0 placed, 0 drop(s), worst drop 0
  place            y   step
  (36, 68)           4
  (37, 68)           4
  (38, 68)           4
  (39, 68)           4
  (40, 68)           4
  (41, 68)           4
  (42, 68)           4
  (43, 68)           4
  (44, 68)           4
  (45, 68)           4
  (46, 68)           4
  (47, 68)           4
  (48, 68)           4
  (49, 68)           4
  (50, 68)           4
  (51, 68)           4
  (52, 68)           4
  (53, 68)           4
  (54, 68)           4
  (55, 68)           4
  (56, 68)           4
rises 0, falls 0, worst step 0: walked end to end

$ walk?from=46,51,12&to=46,88&aim=reach
ROUTE (46, 51) -> (46, 88) aim reach: 37 blocks, 0 placed, 0 drop(s), worst drop 0
  place            y   step
  (46, 51)          12
  (46, 52)          12
  (46, 53)          12
  (46, 54)          12
  (46, 55)          12
  (46, 56)          12
  (46, 57)          12
  (46, 58)          12
  (46, 59)          12
  (46, 60)          12
  (46, 61)          12
  (46, 62)          12
  (46, 63)          12
  (46, 64)          12
  (46, 65)          12
  (46, 66)          12
  (46, 67)          12
  (46, 68)          12
  (46, 69)          12
  (46, 70)          12
  (46, 71)          12
  (46, 72)          12
  (46, 73)          12
  (46, 74)          12
  (46, 75)          12
  (46, 76)          12
  (46, 77)          12
  (46, 78)          12
  (46, 79)          12
  (46, 80)          12
  (46, 81)          12
  (46, 82)          12
  (46, 83)          12
  (46, 84)          12
  (46, 85)          12
  (46, 86)          12
